=== cru@crustle vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 80 seat0: winner=1 turns=21 selects=189
  match 80 seat1: winner=1 turns=47 selects=209
  match 81 seat0: winner=1 turns=18 selects=197
  match 81 seat1: winner=1 turns=16 selects=104
  match 82 seat0: winner=1 turns=18 selects=206
  match 82 seat1: winner=1 turns=20 selects=156
  match 83 seat0: winner=1 turns=14 selects=170
  match 83 seat1: winner=1 turns=14 selects=166
  match 84 seat0: winner=0 turns=19 selects=171
  match 84 seat1: winner=0 turns=11 selects=99
  match 85 seat0: winner=0 turns=13 selects=162
  match 85 seat1: winner=1 turns=65 selects=219
  match 86 seat0: winner=1 turns=14 selects=182
  match 86 seat1: winner=0 turns=15 selects=148
  match 87 seat0: winner=0 turns=17 selects=201
  match 87 seat1: winner=1 turns=20 selects=196
  match 88 seat0: winner=1 turns=12 selects=121
  match 88 seat1: winner=1 turns=16 selects=181
  match 89 seat0: winner=0 turns=15 selects=177
  match 89 seat1: winner=1 turns=39 selects=185
  match 90 seat0: winner=1 turns=10 selects=112
  match 90 seat1: winner=0 turns=5 selects=66
  match 91 seat0: winner=1 turns=16 selects=181
  match 91 seat1: winner=1 turns=18 selects=169
  match 92 seat0: winner=1 turns=17 selects=172
  match 92 seat1: winner=1 turns=24 selects=164
  match 93 seat0: winner=0 turns=15 selects=100
  match 93 seat1: winner=1 turns=16 selects=161
  match 94 seat0: winner=1 turns=11 selects=145
  match 94 seat1: winner=1 turns=14 selects=149
  match 95 seat0: winner=0 turns=32 selects=156
  match 95 seat1: winner=0 turns=15 selects=151
  match 96 seat0: winner=1 turns=19 selects=206
  match 96 seat1: winner=1 turns=18 selects=140
  match 97 seat0: winner=1 turns=14 selects=142
  match 97 seat1: winner=0 turns=13 selects=163
  match 98 seat0: winner=0 turns=21 selects=184
  match 98 seat1: winner=1 turns=26 selects=266
  match 99 seat0: winner=1 turns=20 selects=147
  match 99 seat1: winner=0 turns=21 selects=190
  match 100 seat0: winner=0 turns=40 selects=194
  match 100 seat1: winner=0 turns=15 selects=183
  match 101 seat0: winner=1 turns=16 selects=186
  match 101 seat1: winner=0 turns=13 selects=163
  match 102 seat0: winner=1 turns=14 selects=180
  match 102 seat1: winner=1 turns=16 selects=181
  match 103 seat0: winner=0 turns=28 selects=142
  match 103 seat1: winner=0 turns=21 selects=219
  match 104 seat0: winner=0 turns=16 selects=181
  match 104 seat1: winner=1 turns=16 selects=148
  match 105 seat0: winner=1 turns=8 selects=109
  match 105 seat1: winner=1 turns=18 selects=193
  match 106 seat0: winner=0 turns=13 selects=135
  match 106 seat1: winner=0 turns=19 selects=181
  match 107 seat0: winner=1 turns=13 selects=125
  match 107 seat1: winner=0 turns=15 selects=161
  match 108 seat0: winner=1 turns=16 selects=180
  match 108 seat1: winner=1 turns=45 selects=165
  match 109 seat0: winner=1 turns=16 selects=197
  match 109 seat1: winner=0 turns=13 selects=150
  match 110 seat0: winner=1 turns=24 selects=230
  match 110 seat1: winner=1 turns=16 selects=119
  match 111 seat0: winner=1 turns=14 selects=171
  match 111 seat1: winner=1 turns=16 selects=187
  match 112 seat0: winner=1 turns=14 selects=154
  match 112 seat1: winner=0 turns=17 selects=169
  match 113 seat0: winner=0 turns=17 selects=178
  match 113 seat1: winner=0 turns=15 selects=205
  match 114 seat0: winner=1 turns=12 selects=152
  match 114 seat1: winner=0 turns=17 selects=191
  match 115 seat0: winner=1 turns=18 selects=183
  match 115 seat1: winner=0 turns=11 selects=128
  match 116 seat0: winner=0 turns=15 selects=158
  match 116 seat1: winner=0 turns=17 selects=209
  match 117 seat0: winner=0 turns=17 selects=169
  match 117 seat1: winner=1 turns=24 selects=216
  match 118 seat0: winner=1 turns=14 selects=167
  match 118 seat1: winner=0 turns=17 selects=212
  match 119 seat0: winner=0 turns=19 selects=188
  match 119 seat1: winner=1 turns=26 selects=259
  match 120 seat0: winner=1 turns=14 selects=174
  match 120 seat1: winner=0 turns=15 selects=150
  match 121 seat0: winner=0 turns=32 selects=153
  match 121 seat1: winner=1 turns=16 selects=126
  match 122 seat0: winner=0 turns=17 selects=100
  match 122 seat1: winner=0 turns=13 selects=135
  match 123 seat0: winner=0 turns=21 selects=164
  match 123 seat1: winner=1 turns=35 selects=209
  match 124 seat0: winner=1 turns=14 selects=160
  match 124 seat1: winner=1 turns=22 selects=205
  match 125 seat0: winner=0 turns=15 selects=116
  match 125 seat1: winner=0 turns=13 selects=164
  match 126 seat0: winner=0 turns=24 selects=184
  match 126 seat1: winner=0 turns=15 selects=209
  match 127 seat0: winner=1 turns=14 selects=177
  match 127 seat1: winner=0 turns=11 selects=143
  match 128 seat0: winner=1 turns=18 selects=188
  match 128 seat1: winner=1 turns=16 selects=135
  match 129 seat0: winner=1 turns=16 selects=184
  match 129 seat1: winner=0 turns=17 selects=185
  match 130 seat0: winner=1 turns=14 selects=180
  match 130 seat1: winner=0 turns=11 selects=115
  match 131 seat0: winner=0 turns=17 selects=203
  match 131 seat1: winner=1 turns=35 selects=186
  match 132 seat0: winner=1 turns=16 selects=189
  match 132 seat1: winner=0 turns=25 selects=278
  match 133 seat0: winner=0 turns=17 selects=192
  match 133 seat1: winner=0 turns=15 selects=177
  match 134 seat0: winner=1 turns=12 selects=160
  match 134 seat1: winner=1 turns=16 selects=83
  match 135 seat0: winner=1 turns=14 selects=153
  match 135 seat1: winner=0 turns=9 selects=97
  match 136 seat0: winner=0 turns=5 selects=21
  match 136 seat1: winner=0 turns=23 selects=217
  match 137 seat0: winner=0 turns=17 selects=232
  match 137 seat1: winner=0 turns=17 selects=171
  match 138 seat0: winner=1 turns=12 selects=171
  match 138 seat1: winner=1 turns=20 selects=137
  match 139 seat0: winner=0 turns=17 selects=159
  match 139 seat1: winner=0 turns=13 selects=182
  match 140 seat0: winner=0 turns=19 selects=194
  match 140 seat1: winner=0 turns=15 selects=167
  match 141 seat0: winner=0 turns=17 selects=114
  match 141 seat1: winner=1 turns=18 selects=204
  match 142 seat0: winner=0 turns=17 selects=145
  match 142 seat1: winner=0 turns=23 selects=277
  match 143 seat0: winner=1 turns=17 selects=233
  match 143 seat1: winner=0 turns=13 selects=143
  match 144 seat0: winner=1 turns=16 selects=179
  match 144 seat1: winner=1 turns=18 selects=161
  match 145 seat0: winner=1 turns=14 selects=155
  match 145 seat1: winner=1 turns=16 selects=184
  match 146 seat0: winner=0 turns=11 selects=111
  match 146 seat1: winner=0 turns=13 selects=160
  match 147 seat0: winner=1 turns=14 selects=167
  match 147 seat1: winner=1 turns=18 selects=200
  match 148 seat0: winner=1 turns=20 selects=206
  match 148 seat1: winner=1 turns=35 selects=166
  match 149 seat0: winner=0 turns=19 selects=159
  match 149 seat1: winner=1 turns=31 selects=241
  match 150 seat0: winner=0 turns=17 selects=138
  match 150 seat1: winner=0 turns=19 selects=217
  match 151 seat0: winner=0 turns=13 selects=146
  match 151 seat1: winner=1 turns=24 selects=162
  match 152 seat0: winner=1 turns=14 selects=151
  match 152 seat1: winner=1 turns=18 selects=179
  match 153 seat0: winner=1 turns=12 selects=156
  match 153 seat1: winner=1 turns=18 selects=156
  match 154 seat0: winner=0 turns=19 selects=202
  match 154 seat1: winner=1 turns=18 selects=117
  match 155 seat0: winner=0 turns=17 selects=137
  match 155 seat1: winner=1 turns=16 selects=141
  match 156 seat0: winner=1 turns=10 selects=114
  match 156 seat1: winner=0 turns=16 selects=204
  match 157 seat0: winner=0 turns=21 selects=168
  match 157 seat1: winner=0 turns=17 selects=180
  match 158 seat0: winner=0 turns=19 selects=209
  match 158 seat1: winner=1 turns=16 selects=200
  match 159 seat0: winner=1 turns=16 selects=165
  match 159 seat1: winner=0 turns=15 selects=171
  match 160 seat0: winner=0 turns=17 selects=145
  match 160 seat1: winner=1 turns=14 selects=143
  match 161 seat0: winner=0 turns=15 selects=151
  match 161 seat1: winner=1 turns=16 selects=147
  match 162 seat0: winner=0 turns=31 selects=249
  match 162 seat1: winner=1 turns=16 selects=162
  match 163 seat0: winner=1 turns=16 selects=193
  match 163 seat1: winner=0 turns=11 selects=121
  match 164 seat0: winner=0 turns=27 selects=263
  match 164 seat1: winner=0 turns=11 selects=137
  match 165 seat0: winner=0 turns=15 selects=144
  match 165 seat1: winner=1 turns=18 selects=204
  match 166 seat0: winner=1 turns=20 selects=194
  match 166 seat1: winner=1 turns=18 selects=120
  match 167 seat0: winner=1 turns=14 selects=155
  match 167 seat1: winner=1 turns=17 selects=189
  match 168 seat0: winner=0 turns=5 selects=27
  match 168 seat1: winner=1 turns=16 selects=154
  match 169 seat0: winner=0 turns=17 selects=179
  match 169 seat1: winner=1 turns=16 selects=144
  match 170 seat0: winner=0 turns=19 selects=199
  match 170 seat1: winner=0 turns=25 selects=219
  match 171 seat0: winner=0 turns=48 selects=201
  match 171 seat1: winner=0 turns=13 selects=155
  match 172 seat0: winner=1 turns=14 selects=169
  match 172 seat1: winner=0 turns=15 selects=164
  match 173 seat0: winner=1 turns=18 selects=231
  match 173 seat1: winner=0 turns=7 selects=90
  match 174 seat0: winner=0 turns=19 selects=179
  match 174 seat1: winner=0 turns=19 selects=203
  match 175 seat0: winner=0 turns=19 selects=214
  match 175 seat1: winner=1 turns=16 selects=167
  match 176 seat0: winner=1 turns=18 selects=216
  match 176 seat1: winner=1 turns=34 selects=258
  match 177 seat0: winner=1 turns=14 selects=170
  match 177 seat1: winner=1 turns=45 selects=184
  match 178 seat0: winner=1 turns=12 selects=140
  match 178 seat1: winner=0 turns=7 selects=63
  match 179 seat0: winner=0 turns=25 selects=193
  match 179 seat1: winner=1 turns=16 selects=209
  match 180 seat0: winner=0 turns=26 selects=162
  match 180 seat1: winner=0 turns=17 selects=196
  match 181 seat0: winner=0 turns=21 selects=202
  match 181 seat1: winner=0 turns=12 selects=159
  match 182 seat0: winner=1 turns=15 selects=166
  match 182 seat1: winner=0 turns=13 selects=149
  match 183 seat0: winner=0 turns=28 selects=187
  match 183 seat1: winner=1 turns=17 selects=163
  match 184 seat0: winner=1 turns=12 selects=141
  match 184 seat1: winner=0 turns=19 selects=205
  match 185 seat0: winner=0 turns=15 selects=155
  match 185 seat1: winner=0 turns=17 selects=223
  match 186 seat0: winner=1 turns=6 selects=72
  match 186 seat1: winner=0 turns=13 selects=159
  match 187 seat0: winner=0 turns=21 selects=161
  match 187 seat1: winner=0 turns=13 selects=131
  match 188 seat0: winner=1 turns=14 selects=176
  match 188 seat1: winner=1 turns=16 selects=144
  match 189 seat0: winner=1 turns=12 selects=149
  match 189 seat1: winner=0 turns=11 selects=116
  match 190 seat0: winner=1 turns=16 selects=183
  match 190 seat1: winner=0 turns=12 selects=149
  match 191 seat0: winner=0 turns=46 selects=205
  match 191 seat1: winner=0 turns=11 selects=117
  match 192 seat0: winner=0 turns=29 selects=213
  match 192 seat1: winner=0 turns=11 selects=148
  match 193 seat0: winner=1 turns=16 selects=182
  match 193 seat1: winner=0 turns=17 selects=175
  match 194 seat0: winner=1 turns=16 selects=162
  match 194 seat1: winner=1 turns=16 selects=99
  match 195 seat0: winner=1 turns=22 selects=248
  match 195 seat1: winner=0 turns=15 selects=181
  match 196 seat0: winner=0 turns=17 selects=226
  match 196 seat1: winner=1 turns=16 selects=153
  match 197 seat0: winner=0 turns=15 selects=142
  match 197 seat1: winner=1 turns=24 selects=193
  match 198 seat0: winner=1 turns=14 selects=197
  match 198 seat1: winner=1 turns=18 selects=184
  match 199 seat0: winner=1 turns=10 selects=119
  match 199 seat1: winner=0 turns=3 selects=38

A=bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.463 [0.414, 0.511] W185/D0/L215 over 400 games
  as P0: W/D/L=(89, 0, 111)  as P1: W/D/L=(96, 0, 104)
  elapsed 118.3s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_cru_crustle_vs_bcv5s2_grimmsnarl.jsonl
  [health] OK calls=69211 fallbacks=0 net_missing=0 deck=800
