=== oger@teal_mask_ogerpon vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacf9-3bebdb; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 127 seat0: winner=0 turns=5 selects=64
  match 127 seat1: winner=1 turns=14 selects=94
  match 128 seat0: winner=0 turns=13 selects=176
  match 128 seat1: winner=1 turns=12 selects=145
  match 129 seat0: winner=0 turns=13 selects=159
  match 129 seat1: winner=1 turns=14 selects=183
  match 130 seat0: winner=0 turns=13 selects=172
  match 130 seat1: winner=1 turns=14 selects=167
  match 131 seat0: winner=0 turns=15 selects=187
  match 131 seat1: winner=1 turns=14 selects=182
  match 132 seat0: winner=0 turns=13 selects=181
  match 132 seat1: winner=0 turns=11 selects=169
  match 133 seat0: winner=0 turns=13 selects=158
  match 133 seat1: winner=0 turns=9 selects=129
  match 134 seat0: winner=0 turns=13 selects=162
  match 134 seat1: winner=1 turns=14 selects=132
  match 135 seat0: winner=0 turns=13 selects=160
  match 135 seat1: winner=1 turns=12 selects=159
  match 136 seat0: winner=0 turns=13 selects=178
  match 136 seat1: winner=1 turns=13 selects=149
  match 137 seat0: winner=0 turns=13 selects=145
  match 137 seat1: winner=0 turns=9 selects=134
  match 138 seat0: winner=0 turns=13 selects=158
  match 138 seat1: winner=1 turns=14 selects=175
  match 139 seat0: winner=1 turns=12 selects=171
  match 139 seat1: winner=1 turns=16 selects=178
  match 140 seat0: winner=0 turns=13 selects=180
  match 140 seat1: winner=1 turns=14 selects=155
  match 141 seat0: winner=0 turns=13 selects=161
  match 141 seat1: winner=1 turns=14 selects=187
  match 142 seat0: winner=1 turns=8 selects=122
  match 142 seat1: winner=0 turns=8 selects=85
  match 143 seat0: winner=0 turns=11 selects=123
  match 143 seat1: winner=1 turns=14 selects=174
  match 144 seat0: winner=0 turns=13 selects=187
  match 144 seat1: winner=1 turns=16 selects=172
  match 145 seat0: winner=0 turns=13 selects=174
  match 145 seat1: winner=1 turns=14 selects=178
  match 146 seat0: winner=0 turns=13 selects=174
  match 146 seat1: winner=1 turns=14 selects=150
  match 147 seat0: winner=0 turns=13 selects=176
  match 147 seat1: winner=1 turns=12 selects=152
  match 148 seat0: winner=0 turns=13 selects=185
  match 148 seat1: winner=1 turns=12 selects=137
  match 149 seat0: winner=0 turns=11 selects=173
  match 149 seat1: winner=1 turns=3 selects=28
  match 150 seat0: winner=0 turns=11 selects=167
  match 150 seat1: winner=1 turns=14 selects=160
  match 151 seat0: winner=0 turns=13 selects=126
  match 151 seat1: winner=0 turns=11 selects=163
  match 152 seat0: winner=0 turns=13 selects=186
  match 152 seat1: winner=1 turns=14 selects=167
  match 153 seat0: winner=0 turns=13 selects=181
  match 153 seat1: winner=1 turns=14 selects=190
  match 154 seat0: winner=0 turns=13 selects=149
  match 154 seat1: winner=1 turns=16 selects=164
  match 155 seat0: winner=0 turns=13 selects=165
  match 155 seat1: winner=1 turns=14 selects=180
  match 156 seat0: winner=0 turns=15 selects=196
  match 156 seat1: winner=1 turns=14 selects=177
  match 157 seat0: winner=0 turns=13 selects=168
  match 157 seat1: winner=0 turns=9 selects=132
  match 158 seat0: winner=0 turns=13 selects=158
  match 158 seat1: winner=1 turns=12 selects=136
  match 159 seat0: winner=0 turns=13 selects=175
  match 159 seat1: winner=1 turns=14 selects=165
  match 160 seat0: winner=0 turns=13 selects=152
  match 160 seat1: winner=1 turns=14 selects=191
  match 161 seat0: winner=0 turns=11 selects=149
  match 161 seat1: winner=1 turns=14 selects=169
  match 162 seat0: winner=0 turns=13 selects=144
  match 162 seat1: winner=1 turns=12 selects=161
  match 163 seat0: winner=0 turns=13 selects=196
  match 163 seat1: winner=0 turns=11 selects=178
  match 164 seat0: winner=0 turns=13 selects=130
  match 164 seat1: winner=1 turns=4 selects=44
  match 165 seat0: winner=1 turns=10 selects=157
  match 165 seat1: winner=1 turns=6 selects=50
  match 166 seat0: winner=0 turns=13 selects=126
  match 166 seat1: winner=0 turns=5 selects=52
  match 167 seat0: winner=1 turns=11 selects=174
  match 167 seat1: winner=0 turns=7 selects=78
  match 168 seat0: winner=1 turns=10 selects=150
