=== gar@cynthia_garchomp vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 158 seat0: winner=1 turns=12 selects=168
  match 158 seat1: winner=0 turns=17 selects=188
  match 159 seat0: winner=1 turns=14 selects=203
  match 159 seat1: winner=1 turns=14 selects=177
  match 160 seat0: winner=0 turns=15 selects=161
  match 160 seat1: winner=0 turns=11 selects=183
  match 161 seat0: winner=1 turns=10 selects=159
  match 161 seat1: winner=1 turns=14 selects=195
  match 162 seat0: winner=0 turns=11 selects=139
  match 162 seat1: winner=0 turns=11 selects=172
  match 163 seat0: winner=1 turns=18 selects=238
  match 163 seat1: winner=0 turns=11 selects=184
  match 164 seat0: winner=0 turns=19 selects=211
  match 164 seat1: winner=0 turns=13 selects=170
  match 165 seat0: winner=1 turns=14 selects=200
  match 165 seat1: winner=0 turns=11 selects=142
  match 166 seat0: winner=0 turns=13 selects=171
  match 166 seat1: winner=0 turns=13 selects=189
  match 167 seat0: winner=1 turns=14 selects=205
  match 167 seat1: winner=0 turns=13 selects=204
  match 168 seat0: winner=1 turns=8 selects=112
  match 168 seat1: winner=0 turns=11 selects=112
  match 169 seat0: winner=1 turns=14 selects=196
  match 169 seat1: winner=0 turns=13 selects=161
  match 170 seat0: winner=0 turns=11 selects=184
  match 170 seat1: winner=1 turns=14 selects=164
  match 171 seat0: winner=1 turns=12 selects=161
  match 171 seat1: winner=0 turns=15 selects=195
  match 172 seat0: winner=1 turns=12 selects=124
  match 172 seat1: winner=0 turns=9 selects=165
  match 173 seat0: winner=0 turns=11 selects=130
  match 173 seat1: winner=0 turns=13 selects=183
  match 174 seat0: winner=1 turns=13 selects=141
  match 174 seat1: winner=0 turns=15 selects=221
  match 175 seat0: winner=0 turns=13 selects=197
  match 175 seat1: winner=0 turns=11 selects=127
  match 176 seat0: winner=1 turns=10 selects=150
  match 176 seat1: winner=1 turns=12 selects=169
  match 177 seat0: winner=1 turns=4 selects=42
  match 177 seat1: winner=0 turns=13 selects=200
  match 178 seat0: winner=1 turns=12 selects=146
  match 178 seat1: winner=0 turns=11 selects=186
  match 179 seat0: winner=1 turns=14 selects=158
  match 179 seat1: winner=0 turns=15 selects=117
  match 180 seat0: winner=1 turns=12 selects=196
  match 180 seat1: winner=0 turns=11 selects=148
  match 181 seat0: winner=1 turns=4 selects=39
  match 181 seat1: winner=0 turns=11 selects=155
  match 182 seat0: winner=1 turns=10 selects=135
  match 182 seat1: winner=0 turns=15 selects=194
  match 183 seat0: winner=1 turns=12 selects=185
  match 183 seat1: winner=0 turns=11 selects=104
  match 184 seat0: winner=1 turns=16 selects=166
  match 184 seat1: winner=0 turns=13 selects=150
  match 185 seat0: winner=1 turns=12 selects=170
  match 185 seat1: winner=0 turns=15 selects=191
  match 186 seat0: winner=1 turns=12 selects=176
  match 186 seat1: winner=1 turns=8 selects=71
  match 187 seat0: winner=1 turns=10 selects=155
  match 187 seat1: winner=1 turns=39 selects=206
  match 188 seat0: winner=1 turns=18 selects=216
  match 188 seat1: winner=0 turns=11 selects=134
  match 189 seat0: winner=0 turns=15 selects=202
  match 189 seat1: winner=1 turns=20 selects=165
  match 190 seat0: winner=0 turns=11 selects=168
  match 190 seat1: winner=0 turns=13 selects=193
  match 191 seat0: winner=0 turns=13 selects=162
  match 191 seat1: winner=0 turns=11 selects=152
  match 192 seat0: winner=1 turns=14 selects=118
  match 192 seat1: winner=0 turns=11 selects=122
  match 193 seat0: winner=1 turns=12 selects=92
  match 193 seat1: winner=0 turns=15 selects=206
  match 194 seat0: winner=1 turns=14 selects=181
  match 194 seat1: winner=0 turns=11 selects=124
  match 195 seat0: winner=1 turns=10 selects=90
  match 195 seat1: winner=0 turns=9 selects=98
