=== gar@cynthia_garchomp vs rule:archaludon@archaludon_ex matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 87 seat0: winner=1 turns=14 selects=159
  match 87 seat1: winner=0 turns=12 selects=142
  match 88 seat0: winner=0 turns=21 selects=194
  match 88 seat1: winner=1 turns=15 selects=138
  match 89 seat0: winner=1 turns=14 selects=170
  match 89 seat1: winner=1 turns=17 selects=149
  match 90 seat0: winner=0 turns=19 selects=165
  match 90 seat1: winner=0 turns=14 selects=81
  match 91 seat0: winner=1 turns=12 selects=101
  match 91 seat1: winner=1 turns=25 selects=207
  match 92 seat0: winner=0 turns=11 selects=75
  match 92 seat1: winner=0 turns=16 selects=168
  match 93 seat0: winner=1 turns=14 selects=166
  match 93 seat1: winner=0 turns=16 selects=177
  match 94 seat0: winner=1 turns=22 selects=171
  match 94 seat1: winner=0 turns=14 selects=145
  match 95 seat0: winner=0 turns=15 selects=128
  match 95 seat1: winner=1 turns=9 selects=88
  match 96 seat0: winner=1 turns=14 selects=121
  match 96 seat1: winner=0 turns=12 selects=119
  match 97 seat0: winner=1 turns=14 selects=162
  match 97 seat1: winner=1 turns=15 selects=144
  match 98 seat0: winner=1 turns=16 selects=175
  match 98 seat1: winner=1 turns=13 selects=124
  match 99 seat0: winner=1 turns=10 selects=114
  match 99 seat1: winner=0 turns=34 selects=205
  match 100 seat0: winner=0 turns=15 selects=114
  match 100 seat1: winner=0 turns=12 selects=120
  match 101 seat0: winner=0 turns=15 selects=145
  match 101 seat1: winner=0 turns=14 selects=153
  match 102 seat0: winner=0 turns=15 selects=125
  match 102 seat1: winner=1 turns=25 selects=212
  match 103 seat0: winner=1 turns=14 selects=136
  match 103 seat1: winner=0 turns=18 selects=155
  match 104 seat0: winner=1 turns=10 selects=105
  match 104 seat1: winner=0 turns=4 selects=36
  match 105 seat0: winner=1 turns=18 selects=141
  match 105 seat1: winner=0 turns=14 selects=155
  match 106 seat0: winner=1 turns=16 selects=144
  match 106 seat1: winner=0 turns=12 selects=102
  match 107 seat0: winner=0 turns=11 selects=60
  match 107 seat1: winner=0 turns=12 selects=148
  match 108 seat0: winner=0 turns=7 selects=67
  match 108 seat1: winner=1 turns=13 selects=126
  match 109 seat0: winner=0 turns=15 selects=126
  match 109 seat1: winner=0 turns=12 selects=133
  match 110 seat0: winner=0 turns=13 selects=173
  match 110 seat1: winner=1 turns=19 selects=131
  match 111 seat0: winner=0 turns=15 selects=154
  match 111 seat1: winner=0 turns=16 selects=128
  match 112 seat0: winner=1 turns=22 selects=164
  match 112 seat1: winner=0 turns=16 selects=127
  match 113 seat0: winner=1 turns=12 selects=139
  match 113 seat1: winner=0 turns=14 selects=163
  match 114 seat0: winner=1 turns=16 selects=105
  match 114 seat1: winner=0 turns=12 selects=148
  match 115 seat0: winner=0 turns=15 selects=131
  match 115 seat1: winner=0 turns=8 selects=60
  match 116 seat0: winner=1 turns=22 selects=202
  match 116 seat1: winner=1 turns=15 selects=126
  match 117 seat0: winner=1 turns=14 selects=112
  match 117 seat1: winner=0 turns=18 selects=152
  match 118 seat0: winner=0 turns=11 selects=84
  match 118 seat1: winner=0 turns=14 selects=130
  match 119 seat0: winner=0 turns=13 selects=114
  match 119 seat1: winner=1 turns=7 selects=68
  match 120 seat0: winner=0 turns=15 selects=160
  match 120 seat1: winner=0 turns=14 selects=131
  match 121 seat0: winner=1 turns=20 selects=157
  match 121 seat1: winner=0 turns=10 selects=65
