=== cru@crustle vs rule:dragapult@dragapult_ex matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 103 seat1: winner=1 turns=27 selects=165
  match 104 seat0: winner=0 turns=48 selects=179
  match 104 seat1: winner=1 turns=30 selects=246
  match 105 seat0: winner=0 turns=30 selects=224
  match 105 seat1: winner=1 turns=44 selects=194
  match 106 seat0: winner=0 turns=17 selects=143
  match 106 seat1: winner=1 turns=40 selects=198
  match 107 seat0: winner=0 turns=11 selects=113
  match 107 seat1: winner=1 turns=36 selects=191
  match 108 seat0: winner=0 turns=30 selects=158
  match 108 seat1: winner=1 turns=21 selects=151
  match 109 seat0: winner=0 turns=31 selects=251
  match 109 seat1: winner=1 turns=30 selects=182
  match 110 seat0: winner=0 turns=23 selects=150
  match 110 seat1: winner=0 turns=14 selects=136
  match 111 seat0: winner=0 turns=38 selects=176
  match 111 seat1: winner=0 turns=16 selects=164
  match 112 seat0: winner=0 turns=23 selects=153
  match 112 seat1: winner=1 turns=27 selects=230
  match 113 seat0: winner=1 turns=32 selects=204
  match 113 seat1: winner=1 turns=19 selects=114
  match 114 seat0: winner=0 turns=25 selects=163
  match 114 seat1: winner=1 turns=23 selects=165
  match 115 seat0: winner=0 turns=12 selects=116
  match 115 seat1: winner=0 turns=12 selects=142
  match 116 seat0: winner=0 turns=34 selects=173
  match 116 seat1: winner=1 turns=32 selects=161
  match 117 seat0: winner=0 turns=23 selects=170
  match 117 seat1: winner=0 turns=12 selects=152
  match 118 seat0: winner=0 turns=11 selects=139
  match 118 seat1: winner=1 turns=19 selects=111
  match 119 seat0: winner=0 turns=15 selects=104
  match 119 seat1: winner=1 turns=22 selects=140
  match 120 seat0: winner=0 turns=32 selects=132
  match 120 seat1: winner=1 turns=41 selects=182
  match 121 seat0: winner=0 turns=24 selects=137
  match 121 seat1: winner=1 turns=36 selects=150
  match 122 seat0: winner=1 turns=10 selects=103
  match 122 seat1: winner=1 turns=23 selects=188
  match 123 seat0: winner=0 turns=13 selects=77
  match 123 seat1: winner=1 turns=28 selects=162
  match 124 seat0: winner=1 turns=14 selects=130
  match 124 seat1: winner=1 turns=27 selects=114
  match 125 seat0: winner=1 turns=12 selects=140
  match 125 seat1: winner=1 turns=23 selects=176
  match 126 seat0: winner=0 turns=38 selects=174
  match 126 seat1: winner=1 turns=38 selects=208
  match 127 seat0: winner=0 turns=28 selects=169
  match 127 seat1: winner=1 turns=17 selects=99
  match 128 seat0: winner=0 turns=36 selects=166
  match 128 seat1: winner=1 turns=30 selects=162
  match 129 seat0: winner=0 turns=44 selects=176
  match 129 seat1: winner=1 turns=29 selects=227
  match 130 seat0: winner=0 turns=11 selects=112
  match 130 seat1: winner=1 turns=44 selects=163
  match 131 seat0: winner=0 turns=21 selects=176
  match 131 seat1: winner=1 turns=28 selects=161
  match 132 seat0: winner=0 turns=30 selects=119
  match 132 seat1: winner=1 turns=34 selects=178
  match 133 seat0: winner=1 turns=18 selects=186
  match 133 seat1: winner=1 turns=36 selects=167
  match 134 seat0: winner=0 turns=30 selects=133
  match 134 seat1: winner=0 turns=12 selects=126
  match 135 seat0: winner=1 turns=14 selects=162
  match 135 seat1: winner=1 turns=19 selects=121
  match 136 seat0: winner=0 turns=21 selects=166
  match 136 seat1: winner=1 turns=26 selects=136
  match 137 seat0: winner=0 turns=5 selects=33
  match 137 seat1: winner=1 turns=32 selects=160
  match 138 seat0: winner=1 turns=10 selects=115
  match 138 seat1: winner=1 turns=40 selects=195
  match 139 seat0: winner=0 turns=30 selects=142
  match 139 seat1: winner=1 turns=24 selects=130
  match 140 seat0: winner=0 turns=21 selects=135
  match 140 seat1: winner=1 turns=25 selects=131
  match 141 seat0: winner=0 turns=31 selects=226
  match 141 seat1: winner=1 turns=21 selects=168
  match 142 seat0: winner=1 turns=16 selects=160
  match 142 seat1: winner=1 turns=31 selects=164
  match 143 seat0: winner=1 turns=12 selects=136
  match 143 seat1: winner=1 turns=32 selects=152
  match 144 seat0: winner=0 turns=23 selects=137
  match 144 seat1: winner=1 turns=34 selects=177
  match 145 seat0: winner=0 turns=36 selects=150
  match 145 seat1: winner=1 turns=19 selects=134
  match 146 seat0: winner=0 turns=34 selects=142
  match 146 seat1: winner=1 turns=21 selects=164
  match 147 seat0: winner=0 turns=29 selects=218
