=== luc@lucario_v10 vs rule:v10,noS@lucario_v10 matches=250 ===
⚠ p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea898-ed660f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 89 seat0: winner=1 turns=16 selects=154
  match 89 seat1: winner=0 turns=11 selects=133
  match 90 seat0: winner=1 turns=12 selects=155
  match 90 seat1: winner=0 turns=5 selects=63
  match 91 seat0: winner=1 turns=10 selects=87
  match 91 seat1: winner=0 turns=11 selects=135
  match 92 seat0: winner=1 turns=12 selects=157
  match 92 seat1: winner=0 turns=9 selects=115
  match 93 seat0: winner=0 turns=13 selects=143
  match 93 seat1: winner=1 turns=16 selects=148
  match 94 seat0: winner=0 turns=11 selects=128
  match 94 seat1: winner=0 turns=11 selects=134
  match 95 seat0: winner=0 turns=5 selects=46
  match 95 seat1: winner=1 turns=12 selects=103
  match 96 seat0: winner=0 turns=11 selects=130
  match 96 seat1: winner=0 turns=11 selects=117
  match 97 seat0: winner=0 turns=11 selects=131
  match 97 seat1: winner=1 turns=12 selects=74
  match 98 seat0: winner=1 turns=14 selects=157
  match 98 seat1: winner=0 turns=11 selects=139
  match 99 seat0: winner=0 turns=11 selects=148
  match 99 seat1: winner=1 turns=10 selects=130
  match 100 seat0: winner=0 turns=11 selects=141
  match 100 seat1: winner=1 turns=12 selects=166
  match 101 seat0: winner=0 turns=7 selects=62
  match 101 seat1: winner=0 turns=11 selects=120
  match 102 seat0: winner=1 turns=12 selects=127
  match 102 seat1: winner=1 turns=12 selects=149
  match 103 seat0: winner=1 turns=12 selects=160
  match 103 seat1: winner=0 turns=17 selects=158
  match 104 seat0: winner=1 turns=14 selects=166
  match 104 seat1: winner=1 turns=16 selects=148
  match 105 seat0: winner=1 turns=14 selects=117
  match 105 seat1: winner=0 turns=11 selects=148
  match 106 seat0: winner=0 turns=15 selects=145
  match 106 seat1: winner=1 turns=10 selects=59
  match 107 seat0: winner=1 turns=10 selects=124
