=== gar@cynthia_garchomp vs rule:dragapult@dragapult_ex matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 148 seat1: winner=0 turns=14 selects=185
  match 149 seat0: winner=0 turns=11 selects=181
  match 149 seat1: winner=0 turns=14 selects=190
  match 150 seat0: winner=0 turns=19 selects=169
  match 150 seat1: winner=1 turns=15 selects=132
  match 151 seat0: winner=0 turns=13 selects=159
  match 151 seat1: winner=0 turns=12 selects=142
  match 152 seat0: winner=0 turns=15 selects=172
  match 152 seat1: winner=0 turns=12 selects=112
  match 153 seat0: winner=1 turns=16 selects=181
  match 153 seat1: winner=1 turns=13 selects=137
  match 154 seat0: winner=1 turns=16 selects=194
  match 154 seat1: winner=1 turns=13 selects=183
  match 155 seat0: winner=1 turns=16 selects=203
  match 155 seat1: winner=1 turns=13 selects=195
  match 156 seat0: winner=0 turns=15 selects=158
  match 156 seat1: winner=1 turns=21 selects=120
  match 157 seat0: winner=1 turns=14 selects=194
  match 157 seat1: winner=1 turns=13 selects=158
  match 158 seat0: winner=0 turns=13 selects=165
  match 158 seat1: winner=1 turns=17 selects=173
  match 159 seat0: winner=0 turns=15 selects=105
  match 159 seat1: winner=0 turns=14 selects=183
  match 160 seat0: winner=1 turns=12 selects=128
  match 160 seat1: winner=0 turns=14 selects=200
  match 161 seat0: winner=0 turns=11 selects=163
  match 161 seat1: winner=1 turns=17 selects=191
  match 162 seat0: winner=0 turns=17 selects=176
  match 162 seat1: winner=1 turns=11 selects=163
  match 163 seat0: winner=1 turns=14 selects=190
  match 163 seat1: winner=0 turns=14 selects=178
  match 164 seat0: winner=0 turns=13 selects=163
  match 164 seat1: winner=0 turns=16 selects=189
  match 165 seat0: winner=1 turns=12 selects=190
  match 165 seat1: winner=0 turns=14 selects=202
  match 166 seat0: winner=0 turns=15 selects=153
  match 166 seat1: winner=1 turns=11 selects=155
  match 167 seat0: winner=1 turns=14 selects=207
  match 167 seat1: winner=1 turns=13 selects=116
  match 168 seat0: winner=0 turns=11 selects=181
  match 168 seat1: winner=1 turns=13 selects=151
  match 169 seat0: winner=1 turns=16 selects=51
  match 169 seat1: winner=0 turns=16 selects=210
  match 170 seat0: winner=0 turns=9 selects=33
  match 170 seat1: winner=1 turns=11 selects=177
  match 171 seat0: winner=0 turns=13 selects=158
  match 171 seat1: winner=1 turns=11 selects=157
  match 172 seat0: winner=1 turns=4 selects=53
  match 172 seat1: winner=1 turns=11 selects=157
  match 173 seat0: winner=1 turns=12 selects=196
  match 173 seat1: winner=0 turns=16 selects=240
  match 174 seat0: winner=1 turns=14 selects=177
  match 174 seat1: winner=1 turns=17 selects=199
  match 175 seat0: winner=0 turns=15 selects=114
  match 175 seat1: winner=1 turns=17 selects=170
  match 176 seat0: winner=1 turns=12 selects=179
  match 176 seat1: winner=1 turns=13 selects=200
  match 177 seat0: winner=1 turns=16 selects=200
  match 177 seat1: winner=0 turns=12 selects=140
  match 178 seat0: winner=0 turns=17 selects=165
  match 178 seat1: winner=0 turns=14 selects=188
  match 179 seat0: winner=1 turns=14 selects=210
  match 179 seat1: winner=0 turns=12 selects=173
  match 180 seat0: winner=1 turns=14 selects=161
  match 180 seat1: winner=0 turns=14 selects=204
  match 181 seat0: winner=0 turns=17 selects=202
  match 181 seat1: winner=0 turns=16 selects=194
  match 182 seat0: winner=1 turns=12 selects=171
  match 182 seat1: winner=1 turns=15 selects=189
  match 183 seat0: winner=0 turns=19 selects=189
  match 183 seat1: winner=1 turns=13 selects=158
  match 184 seat0: winner=0 turns=15 selects=191
  match 184 seat1: winner=0 turns=16 selects=209
  match 185 seat0: winner=0 turns=13 selects=182
  match 185 seat1: winner=1 turns=17 selects=190
  match 186 seat0: winner=1 turns=12 selects=116
  match 186 seat1: winner=0 turns=14 selects=182
  match 187 seat0: winner=1 turns=14 selects=140
  match 187 seat1: winner=0 turns=14 selects=190
  match 188 seat0: winner=0 turns=17 selects=154
  match 188 seat1: winner=1 turns=19 selects=200
  match 189 seat0: winner=1 turns=16 selects=198
  match 189 seat1: winner=1 turns=13 selects=185
  match 190 seat0: winner=0 turns=11 selects=118
  match 190 seat1: winner=0 turns=18 selects=175
  match 191 seat0: winner=0 turns=11 selects=176
  match 191 seat1: winner=0 turns=12 selects=128
  match 192 seat0: winner=0 turns=13 selects=91
  match 192 seat1: winner=1 turns=15 selects=203
  match 193 seat0: winner=0 turns=11 selects=127
  match 193 seat1: winner=1 turns=13 selects=175
  match 194 seat0: winner=0 turns=17 selects=178
  match 194 seat1: winner=0 turns=14 selects=156
  match 195 seat0: winner=1 turns=14 selects=193
  match 195 seat1: winner=1 turns=11 selects=156
  match 196 seat0: winner=0 turns=13 selects=177
  match 196 seat1: winner=1 turns=13 selects=146
  match 197 seat0: winner=1 turns=12 selects=142
  match 197 seat1: winner=1 turns=13 selects=186
  match 198 seat0: winner=1 turns=14 selects=190
  match 198 seat1: winner=0 turns=14 selects=176
  match 199 seat0: winner=1 turns=14 selects=162
  match 199 seat1: winner=0 turns=12 selects=147

A=bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.517 [0.469, 0.566] W207/D0/L193 over 400 games
  as P0: W/D/L=(105, 0, 95)  as P1: W/D/L=(102, 0, 98)
  elapsed 78.4s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_gar_cynthia_garchomp_vs_ruledragapult_dragapult_ex.jsonl
  [health] OK calls=29474 fallbacks=0 net_missing=0 deck=400
