=== cru@crustle vs rule:alakazam5@alakazam5 matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 110 seat0: winner=0 turns=28 selects=146
  match 110 seat1: winner=1 turns=29 selects=116
  match 111 seat0: winner=1 turns=20 selects=162
  match 111 seat1: winner=1 turns=20 selects=148
  match 112 seat0: winner=1 turns=18 selects=120
  match 112 seat1: winner=1 turns=19 selects=131
  match 113 seat0: winner=1 turns=28 selects=114
  match 113 seat1: winner=0 turns=9 selects=86
  match 114 seat0: winner=1 turns=10 selects=86
  match 114 seat1: winner=1 turns=21 selects=104
  match 115 seat0: winner=1 turns=8 selects=75
  match 115 seat1: winner=1 turns=19 selects=114
  match 116 seat0: winner=0 turns=23 selects=145
  match 116 seat1: winner=1 turns=33 selects=127
  match 117 seat0: winner=0 turns=24 selects=138
  match 117 seat1: winner=0 turns=9 selects=74
  match 118 seat0: winner=1 turns=16 selects=122
  match 118 seat1: winner=0 turns=7 selects=69
  match 119 seat0: winner=0 turns=32 selects=120
  match 119 seat1: winner=0 turns=13 selects=99
  match 120 seat0: winner=1 turns=10 selects=84
  match 120 seat1: winner=0 turns=11 selects=94
  match 121 seat0: winner=1 turns=16 selects=117
  match 121 seat1: winner=0 turns=15 selects=108
  match 122 seat0: winner=0 turns=21 selects=143
  match 122 seat1: winner=0 turns=11 selects=96
  match 123 seat0: winner=0 turns=28 selects=109
  match 123 seat1: winner=0 turns=15 selects=112
  match 124 seat0: winner=0 turns=20 selects=147
  match 124 seat1: winner=1 turns=17 selects=119
  match 125 seat0: winner=0 turns=28 selects=134
  match 125 seat1: winner=0 turns=9 selects=82
  match 126 seat0: winner=1 turns=14 selects=117
  match 126 seat1: winner=0 turns=11 selects=86
  match 127 seat0: winner=0 turns=36 selects=117
  match 127 seat1: winner=0 turns=9 selects=92
  match 128 seat0: winner=0 turns=26 selects=150
  match 128 seat1: winner=0 turns=13 selects=120
  match 129 seat0: winner=0 turns=23 selects=140
  match 129 seat1: winner=0 turns=7 selects=79
  match 130 seat0: winner=0 turns=19 selects=153
  match 130 seat1: winner=1 turns=23 selects=135
  match 131 seat0: winner=0 turns=22 selects=136
  match 131 seat1: winner=1 turns=33 selects=108
  match 132 seat0: winner=0 turns=30 selects=124
  match 132 seat1: winner=1 turns=22 selects=128
  match 133 seat0: winner=0 turns=25 selects=114
  match 133 seat1: winner=1 turns=30 selects=157
  match 134 seat0: winner=0 turns=18 selects=136
  match 134 seat1: winner=0 turns=11 selects=95
  match 135 seat0: winner=0 turns=23 selects=142
  match 135 seat1: winner=1 turns=21 selects=142
  match 136 seat0: winner=1 turns=12 selects=111
  match 136 seat1: winner=0 turns=11 selects=110
  match 137 seat0: winner=0 turns=22 selects=114
  match 137 seat1: winner=1 turns=23 selects=138
  match 138 seat0: winner=0 turns=24 selects=139
  match 138 seat1: winner=0 turns=13 selects=108
  match 139 seat0: winner=0 turns=22 selects=146
  match 139 seat1: winner=1 turns=26 selects=119
  match 140 seat0: winner=0 turns=25 selects=136
  match 140 seat1: winner=1 turns=17 selects=121
  match 141 seat0: winner=1 turns=14 selects=136
  match 141 seat1: winner=1 turns=19 selects=132
  match 142 seat0: winner=1 turns=8 selects=77
  match 142 seat1: winner=1 turns=24 selects=151
  match 143 seat0: winner=1 turns=8 selects=79
  match 143 seat1: winner=1 turns=26 selects=156
  match 144 seat0: winner=1 turns=10 selects=90
  match 144 seat1: winner=1 turns=24 selects=119
  match 145 seat0: winner=1 turns=14 selects=129
  match 145 seat1: winner=0 turns=11 selects=83
  match 146 seat0: winner=0 turns=16 selects=114
  match 146 seat1: winner=1 turns=23 selects=126
  match 147 seat0: winner=1 turns=10 selects=92
  match 147 seat1: winner=0 turns=13 selects=95
  match 148 seat0: winner=0 turns=15 selects=116
  match 148 seat1: winner=0 turns=13 selects=105
  match 149 seat0: winner=0 turns=22 selects=117
  match 149 seat1: winner=1 turns=18 selects=101
  match 150 seat0: winner=0 turns=28 selects=145
  match 150 seat1: winner=1 turns=35 selects=122
  match 151 seat0: winner=1 turns=8 selects=84
  match 151 seat1: winner=1 turns=29 selects=156
  match 152 seat0: winner=1 turns=14 selects=98
  match 152 seat1: winner=0 turns=13 selects=112
  match 153 seat0: winner=1 turns=10 selects=92
  match 153 seat1: winner=0 turns=11 selects=104
  match 154 seat0: winner=1 turns=16 selects=129
  match 154 seat1: winner=1 turns=17 selects=123
  match 155 seat0: winner=1 turns=6 selects=69
  match 155 seat1: winner=1 turns=24 selects=166
  match 156 seat0: winner=0 turns=22 selects=136
  match 156 seat1: winner=0 turns=9 selects=88
  match 157 seat0: winner=1 turns=6 selects=49
  match 157 seat1: winner=0 turns=15 selects=112
  match 158 seat0: winner=0 turns=21 selects=124
  match 158 seat1: winner=0 turns=11 selects=87
  match 159 seat0: winner=1 turns=20 selects=127
  match 159 seat1: winner=0 turns=3 selects=37
  match 160 seat0: winner=0 turns=26 selects=136
  match 160 seat1: winner=0 turns=5 selects=55
  match 161 seat0: winner=0 turns=34 selects=124
  match 161 seat1: winner=1 turns=13 selects=108
  match 162 seat0: winner=0 turns=20 selects=126
  match 162 seat1: winner=0 turns=15 selects=128
  match 163 seat0: winner=1 turns=18 selects=118
  match 163 seat1: winner=0 turns=7 selects=77
  match 164 seat0: winner=1 turns=10 selects=79
  match 164 seat1: winner=1 turns=29 selects=109
  match 165 seat0: winner=0 turns=26 selects=110
  match 165 seat1: winner=1 turns=19 selects=130
  match 166 seat0: winner=0 turns=21 selects=154
  match 166 seat1: winner=1 turns=33 selects=110
  match 167 seat0: winner=1 turns=14 selects=102
