=== cru@crustle vs rule:archaludon@archaludon_ex matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 80 seat1: winner=1 turns=27 selects=168
  match 81 seat0: winner=1 turns=18 selects=123
  match 81 seat1: winner=1 turns=17 selects=88
  match 82 seat0: winner=0 turns=15 selects=104
  match 82 seat1: winner=1 turns=34 selects=140
  match 83 seat0: winner=0 turns=25 selects=127
  match 83 seat1: winner=1 turns=15 selects=101
  match 84 seat0: winner=0 turns=28 selects=129
  match 84 seat1: winner=0 turns=12 selects=63
  match 85 seat0: winner=1 turns=32 selects=162
  match 85 seat1: winner=0 turns=32 selects=127
  match 86 seat0: winner=0 turns=24 selects=103
  match 86 seat1: winner=0 turns=12 selects=73
  match 87 seat0: winner=0 turns=19 selects=107
  match 87 seat1: winner=1 turns=13 selects=56
  match 88 seat0: winner=0 turns=29 selects=125
  match 88 seat1: winner=0 turns=2 selects=23
  match 89 seat0: winner=1 turns=14 selects=99
  match 89 seat1: winner=0 turns=2 selects=18
  match 90 seat0: winner=1 turns=22 selects=92
  match 90 seat1: winner=0 turns=2 selects=19
  match 91 seat0: winner=1 turns=2 selects=22
  match 91 seat1: winner=0 turns=2 selects=24
  match 92 seat0: winner=0 turns=17 selects=91
  match 92 seat1: winner=0 turns=26 selects=154
  match 93 seat0: winner=0 turns=17 selects=102
  match 93 seat1: winner=0 turns=18 selects=122
  match 94 seat0: winner=1 turns=24 selects=148
  match 94 seat1: winner=0 turns=20 selects=111
  match 95 seat0: winner=0 turns=17 selects=106
  match 95 seat1: winner=0 turns=28 selects=140
  match 96 seat0: winner=0 turns=19 selects=137
  match 96 seat1: winner=1 turns=31 selects=159
  match 97 seat0: winner=0 turns=27 selects=119
  match 97 seat1: winner=1 turns=30 selects=159
  match 98 seat0: winner=0 turns=16 selects=96
  match 98 seat1: winner=1 turns=19 selects=120
  match 99 seat0: winner=0 turns=23 selects=136
  match 99 seat1: winner=0 turns=24 selects=102
  match 100 seat0: winner=0 turns=7 selects=40
  match 100 seat1: winner=1 turns=17 selects=117
  match 101 seat0: winner=0 turns=29 selects=133
  match 101 seat1: winner=1 turns=13 selects=88
  match 102 seat0: winner=1 turns=16 selects=80
  match 102 seat1: winner=1 turns=5 selects=39
  match 103 seat0: winner=0 turns=27 selects=148
  match 103 seat1: winner=1 turns=21 selects=99
  match 104 seat0: winner=1 turns=16 selects=108
  match 104 seat1: winner=1 turns=23 selects=101
  match 105 seat0: winner=1 turns=28 selects=134
  match 105 seat1: winner=1 turns=19 selects=120
  match 106 seat0: winner=0 turns=17 selects=109
  match 106 seat1: winner=0 turns=18 selects=109
  match 107 seat0: winner=2 turns=22 selects=118
  match 107 seat1: winner=1 turns=23 selects=121
  match 108 seat0: winner=0 turns=17 selects=124
  match 108 seat1: winner=0 turns=18 selects=111
  match 109 seat0: winner=0 turns=27 selects=133
  match 109 seat1: winner=1 turns=27 selects=171
  match 110 seat0: winner=0 turns=17 selects=118
  match 110 seat1: winner=1 turns=23 selects=134
  match 111 seat0: winner=0 turns=36 selects=159
  match 111 seat1: winner=1 turns=28 selects=152
  match 112 seat0: winner=0 turns=23 selects=131
  match 112 seat1: winner=1 turns=19 selects=117
  match 113 seat0: winner=0 turns=29 selects=118
  match 113 seat1: winner=0 turns=2 selects=27
  match 114 seat0: winner=0 turns=13 selects=98
  match 114 seat1: winner=1 turns=19 selects=123
  match 115 seat0: winner=1 turns=2 selects=18
  match 115 seat1: winner=0 turns=3 selects=24
  match 116 seat0: winner=0 turns=24 selects=119
  match 116 seat1: winner=0 turns=14 selects=71
  match 117 seat0: winner=2 turns=28 selects=126
  match 117 seat1: winner=0 turns=14 selects=84
  match 118 seat0: winner=0 turns=21 selects=89
  match 118 seat1: winner=1 turns=13 selects=95
  match 119 seat0: winner=1 turns=22 selects=134
  match 119 seat1: winner=1 turns=25 selects=129
  match 120 seat0: winner=0 turns=19 selects=104
  match 120 seat1: winner=0 turns=12 selects=84
  match 121 seat0: winner=1 turns=14 selects=85
  match 121 seat1: winner=0 turns=18 selects=104
  match 122 seat0: winner=1 turns=2 selects=22
  match 122 seat1: winner=1 turns=11 selects=91
  match 123 seat0: winner=1 turns=16 selects=109
  match 123 seat1: winner=0 turns=22 selects=106
  match 124 seat0: winner=0 turns=22 selects=141
  match 124 seat1: winner=1 turns=15 selects=90
  match 125 seat0: winner=0 turns=23 selects=135
  match 125 seat1: winner=1 turns=23 selects=120
  match 126 seat0: winner=0 turns=17 selects=117
  match 126 seat1: winner=1 turns=15 selects=89
  match 127 seat0: winner=0 turns=39 selects=154
  match 127 seat1: winner=1 turns=21 selects=121
  match 128 seat0: winner=0 turns=21 selects=109
  match 128 seat1: winner=0 turns=18 selects=110
  match 129 seat0: winner=0 turns=24 selects=157
  match 129 seat1: winner=0 turns=12 selects=78
  match 130 seat0: winner=0 turns=25 selects=159
  match 130 seat1: winner=0 turns=14 selects=101
  match 131 seat0: winner=0 turns=11 selects=84
  match 131 seat1: winner=1 turns=16 selects=79
  match 132 seat0: winner=0 turns=27 selects=131
  match 132 seat1: winner=0 turns=24 selects=98
  match 133 seat0: winner=0 turns=15 selects=95
  match 133 seat1: winner=0 turns=2 selects=21
  match 134 seat0: winner=1 turns=10 selects=72
  match 134 seat1: winner=0 turns=10 selects=51
  match 135 seat0: winner=0 turns=5 selects=40
  match 135 seat1: winner=0 turns=18 selects=103
  match 136 seat0: winner=1 turns=14 selects=82
  match 136 seat1: winner=1 turns=31 selects=192
  match 137 seat0: winner=0 turns=13 selects=83
  match 137 seat1: winner=0 turns=2 selects=21
  match 138 seat0: winner=0 turns=15 selects=112
  match 138 seat1: winner=1 turns=13 selects=110
  match 139 seat0: winner=1 turns=10 selects=68
  match 139 seat1: winner=1 turns=13 selects=68
  match 140 seat0: winner=0 turns=17 selects=113
  match 140 seat1: winner=0 turns=18 selects=102
  match 141 seat0: winner=1 turns=22 selects=149
  match 141 seat1: winner=1 turns=13 selects=97
  match 142 seat0: winner=1 turns=8 selects=51
  match 142 seat1: winner=0 turns=2 selects=16
  match 143 seat0: winner=1 turns=22 selects=143
  match 143 seat1: winner=0 turns=12 selects=78
  match 144 seat0: winner=1 turns=16 selects=87
  match 144 seat1: winner=1 turns=5 selects=45
  match 145 seat0: winner=1 turns=28 selects=159
  match 145 seat1: winner=1 turns=17 selects=79
  match 146 seat0: winner=0 turns=27 selects=113
  match 146 seat1: winner=1 turns=17 selects=91
  match 147 seat0: winner=0 turns=21 selects=129
  match 147 seat1: winner=1 turns=31 selects=168
  match 148 seat0: winner=0 turns=21 selects=74
  match 148 seat1: winner=0 turns=18 selects=108
  match 149 seat0: winner=0 turns=23 selects=133
  match 149 seat1: winner=0 turns=12 selects=76
  match 150 seat0: winner=0 turns=17 selects=103
  match 150 seat1: winner=1 turns=19 selects=111
  match 151 seat0: winner=0 turns=25 selects=119
  match 151 seat1: winner=0 turns=18 selects=141
  match 152 seat0: winner=0 turns=9 selects=77
  match 152 seat1: winner=1 turns=21 selects=95
  match 153 seat0: winner=0 turns=19 selects=118
  match 153 seat1: winner=1 turns=16 selects=109
  match 154 seat0: winner=0 turns=7 selects=55
  match 154 seat1: winner=0 turns=20 selects=112
  match 155 seat0: winner=0 turns=20 selects=136
  match 155 seat1: winner=1 turns=21 selects=87
  match 156 seat0: winner=2 turns=26 selects=147
  match 156 seat1: winner=0 turns=16 selects=102
  match 157 seat0: winner=1 turns=2 selects=22
  match 157 seat1: winner=0 turns=2 selects=18
  match 158 seat0: winner=0 turns=13 selects=74
  match 158 seat1: winner=1 turns=18 selects=96
  match 159 seat0: winner=0 turns=23 selects=120
  match 159 seat1: winner=0 turns=2 selects=23
  match 160 seat0: winner=1 turns=2 selects=26
  match 160 seat1: winner=1 turns=11 selects=50
  match 161 seat0: winner=1 turns=18 selects=127
  match 161 seat1: winner=0 turns=16 selects=78
  match 162 seat0: winner=0 turns=29 selects=104
  match 162 seat1: winner=1 turns=9 selects=81
  match 163 seat0: winner=0 turns=19 selects=89
  match 163 seat1: winner=1 turns=24 selects=112
  match 164 seat0: winner=1 turns=2 selects=27
  match 164 seat1: winner=0 turns=28 selects=140
  match 165 seat0: winner=1 turns=26 selects=124
  match 165 seat1: winner=1 turns=13 selects=89
  match 166 seat0: winner=0 turns=27 selects=148
  match 166 seat1: winner=1 turns=18 selects=100
  match 167 seat0: winner=0 turns=21 selects=96
  match 167 seat1: winner=0 turns=2 selects=27
  match 168 seat0: winner=0 turns=15 selects=78
  match 168 seat1: winner=0 turns=18 selects=110
  match 169 seat0: winner=1 turns=8 selects=60
  match 169 seat1: winner=1 turns=19 selects=92
  match 170 seat0: winner=1 turns=30 selects=142
  match 170 seat1: winner=1 turns=17 selects=98
