=== arch@archaludon_ex vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 173 seat0: winner=1 turns=8 selects=74
  match 173 seat1: winner=0 turns=7 selects=105
  match 174 seat0: winner=1 turns=12 selects=181
  match 174 seat1: winner=0 turns=15 selects=168
  match 175 seat0: winner=1 turns=16 selects=167
  match 175 seat1: winner=0 turns=9 selects=92
  match 176 seat0: winner=2 turns=19 selects=196
  match 176 seat1: winner=0 turns=17 selects=193
  match 177 seat0: winner=1 turns=10 selects=103
  match 177 seat1: winner=0 turns=13 selects=170
  match 178 seat0: winner=1 turns=18 selects=212
  match 178 seat1: winner=0 turns=11 selects=166
  match 179 seat0: winner=1 turns=10 selects=110
  match 179 seat1: winner=0 turns=11 selects=139
  match 180 seat0: winner=1 turns=14 selects=142
  match 180 seat1: winner=0 turns=19 selects=236
  match 181 seat0: winner=1 turns=8 selects=118
  match 181 seat1: winner=0 turns=11 selects=145
  match 182 seat0: winner=1 turns=18 selects=197
  match 182 seat1: winner=0 turns=11 selects=152
  match 183 seat0: winner=1 turns=12 selects=155
  match 183 seat1: winner=0 turns=15 selects=184
  match 184 seat0: winner=1 turns=16 selects=199
  match 184 seat1: winner=0 turns=9 selects=103
  match 185 seat0: winner=1 turns=20 selects=182
  match 185 seat1: winner=0 turns=3 selects=35
  match 186 seat0: winner=1 turns=12 selects=184
  match 186 seat1: winner=0 turns=13 selects=141
  match 187 seat0: winner=1 turns=8 selects=118
  match 187 seat1: winner=0 turns=9 selects=115
  match 188 seat0: winner=1 turns=16 selects=218
  match 188 seat1: winner=0 turns=9 selects=76
  match 189 seat0: winner=1 turns=12 selects=186
  match 189 seat1: winner=0 turns=7 selects=74
  match 190 seat0: winner=0 turns=13 selects=128
  match 190 seat1: winner=0 turns=17 selects=218
  match 191 seat0: winner=1 turns=14 selects=182
  match 191 seat1: winner=0 turns=15 selects=170
  match 192 seat0: winner=1 turns=4 selects=41
  match 192 seat1: winner=0 turns=30 selects=249
  match 193 seat0: winner=1 turns=20 selects=225
  match 193 seat1: winner=0 turns=10 selects=142
  match 194 seat0: winner=1 turns=12 selects=194
  match 194 seat1: winner=0 turns=13 selects=108
  match 195 seat0: winner=0 turns=23 selects=198
  match 195 seat1: winner=0 turns=9 selects=113
  match 196 seat0: winner=1 turns=12 selects=105
  match 196 seat1: winner=0 turns=17 selects=222
  match 197 seat0: winner=1 turns=14 selects=120
  match 197 seat1: winner=0 turns=14 selects=190
  match 198 seat0: winner=1 turns=13 selects=140
  match 198 seat1: winner=0 turns=9 selects=100
  match 199 seat0: winner=1 turns=12 selects=138
  match 199 seat1: winner=0 turns=15 selects=187

A=bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.094 [0.069, 0.126] W37/D1/L362 over 400 games
  as P0: W/D/L=(24, 1, 175)  as P1: W/D/L=(13, 0, 187)
  elapsed 99.6s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_arch_archaludon_ex_vs_bcv5s2_grimmsnarl.jsonl
  [health] OK calls=62125 fallbacks=0 net_missing=0 deck=800
