=== luc@lucario_v10 vs rule:dragapult@dragapult_ex matches=200 ===
⚠ p100_luc_lucario_v10_vs_ruledragapult_dragapult_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea988-b2f675; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 62 seat0: winner=0 turns=15 selects=175
  match 62 seat1: winner=1 turns=13 selects=102
  match 63 seat0: winner=0 turns=13 selects=128
  match 63 seat1: winner=1 turns=11 selects=113
  match 64 seat0: winner=1 turns=12 selects=169
  match 64 seat1: winner=1 turns=9 selects=126
  match 65 seat0: winner=1 turns=14 selects=160
  match 65 seat1: winner=1 turns=9 selects=128
  match 66 seat0: winner=1 turns=10 selects=156
  match 66 seat1: winner=1 turns=13 selects=180
  match 67 seat0: winner=0 turns=3 selects=34
  match 67 seat1: winner=0 turns=12 selects=165
  match 68 seat0: winner=0 turns=13 selects=99
  match 68 seat1: winner=1 turns=13 selects=180
  match 69 seat0: winner=0 turns=9 selects=117
  match 69 seat1: winner=1 turns=11 selects=141
  match 70 seat0: winner=1 turns=12 selects=115
  match 70 seat1: winner=1 turns=11 selects=146
  match 71 seat0: winner=0 turns=3 selects=23
  match 71 seat1: winner=1 turns=11 selects=142
  match 72 seat0: winner=1 turns=16 selects=151
  match 72 seat1: winner=0 turns=8 selects=121
  match 73 seat0: winner=1 turns=12 selects=120
  match 73 seat1: winner=1 turns=15 selects=176
  match 74 seat0: winner=0 turns=15 selects=127
  match 74 seat1: winner=1 turns=11 selects=119
  match 75 seat0: winner=0 turns=7 selects=40
  match 75 seat1: winner=1 turns=13 selects=143
  match 76 seat0: winner=0 turns=13 selects=139
  match 76 seat1: winner=0 turns=12 selects=120
  match 77 seat0: winner=0 turns=11 selects=169
  match 77 seat1: winner=1 turns=19 selects=154
  match 78 seat0: winner=1 turns=10 selects=142
  match 78 seat1: winner=1 turns=11 selects=174
  match 79 seat0: winner=1 turns=12 selects=180
  match 79 seat1: winner=1 turns=11 selects=121
  match 80 seat0: winner=1 turns=12 selects=134
  match 80 seat1: winner=1 turns=11 selects=160
  match 81 seat0: winner=0 turns=11 selects=138
  match 81 seat1: winner=0 turns=10 selects=169
  match 82 seat0: winner=0 turns=13 selects=162
  match 82 seat1: winner=1 turns=13 selects=127
  match 83 seat0: winner=0 turns=13 selects=149
  match 83 seat1: winner=0 turns=10 selects=102
  match 84 seat0: winner=1 turns=10 selects=123
  match 84 seat1: winner=1 turns=11 selects=139
  match 85 seat0: winner=0 turns=11 selects=161
  match 85 seat1: winner=0 turns=12 selects=180
  match 86 seat0: winner=0 turns=15 selects=191
  match 86 seat1: winner=1 turns=3 selects=40
  match 87 seat0: winner=0 turns=13 selects=170
  match 87 seat1: winner=0 turns=14 selects=157
  match 88 seat0: winner=1 turns=14 selects=160
  match 88 seat1: winner=1 turns=11 selects=167
  match 89 seat0: winner=0 turns=11 selects=113
  match 89 seat1: winner=1 turns=9 selects=112
  match 90 seat0: winner=0 turns=5 selects=52
  match 90 seat1: winner=1 turns=13 selects=101
  match 91 seat0: winner=0 turns=9 selects=143
  match 91 seat1: winner=1 turns=15 selects=163
  match 92 seat0: winner=1 turns=20 selects=192
  match 92 seat1: winner=0 turns=18 selects=176
  match 93 seat0: winner=1 turns=16 selects=182
  match 93 seat1: winner=1 turns=13 selects=150
  match 94 seat0: winner=1 turns=12 selects=156
  match 94 seat1: winner=0 turns=10 selects=141
  match 95 seat0: winner=1 turns=14 selects=126
  match 95 seat1: winner=0 turns=10 selects=144
  match 96 seat0: winner=0 turns=13 selects=80
  match 96 seat1: winner=1 turns=11 selects=61
  match 97 seat0: winner=1 turns=14 selects=187
  match 97 seat1: winner=1 turns=13 selects=141
  match 98 seat0: winner=0 turns=13 selects=144
  match 98 seat1: winner=0 turns=12 selects=177
  match 99 seat0: winner=0 turns=9 selects=128
  match 99 seat1: winner=0 turns=12 selects=152
  match 100 seat0: winner=0 turns=15 selects=169
  match 100 seat1: winner=1 turns=9 selects=130
  match 101 seat0: winner=0 turns=23 selects=186
  match 101 seat1: winner=0 turns=12 selects=153
  match 102 seat0: winner=0 turns=13 selects=189
  match 102 seat1: winner=1 turns=3 selects=24
  match 103 seat0: winner=1 turns=12 selects=191
  match 103 seat1: winner=0 turns=10 selects=147
  match 104 seat0: winner=0 turns=11 selects=133
  match 104 seat1: winner=1 turns=9 selects=122
  match 105 seat0: winner=1 turns=10 selects=142
  match 105 seat1: winner=1 turns=15 selects=202
  match 106 seat0: winner=0 turns=13 selects=177
  match 106 seat1: winner=0 turns=14 selects=178
  match 107 seat0: winner=0 turns=13 selects=168
  match 107 seat1: winner=0 turns=14 selects=179
  match 108 seat0: winner=1 turns=10 selects=141
  match 108 seat1: winner=1 turns=13 selects=138
  match 109 seat0: winner=1 turns=12 selects=157
  match 109 seat1: winner=1 turns=17 selects=172
  match 110 seat0: winner=0 turns=15 selects=204
  match 110 seat1: winner=1 turns=13 selects=103
  match 111 seat0: winner=0 turns=13 selects=122
  match 111 seat1: winner=1 turns=3 selects=17
  match 112 seat0: winner=0 turns=9 selects=59
  match 112 seat1: winner=1 turns=5 selects=57
  match 113 seat0: winner=0 turns=15 selects=177
  match 113 seat1: winner=1 turns=13 selects=180
  match 114 seat0: winner=0 turns=13 selects=159
  match 114 seat1: winner=1 turns=13 selects=172
  match 115 seat0: winner=0 turns=13 selects=171
  match 115 seat1: winner=1 turns=11 selects=84
  match 116 seat0: winner=0 turns=11 selects=125
  match 116 seat1: winner=0 turns=14 selects=205
  match 117 seat0: winner=0 turns=11 selects=137
  match 117 seat1: winner=0 turns=10 selects=117
  match 118 seat0: winner=0 turns=11 selects=170
  match 118 seat1: winner=1 turns=15 selects=176
  match 119 seat0: winner=1 turns=12 selects=166
  match 119 seat1: winner=0 turns=8 selects=75
  match 120 seat0: winner=1 turns=12 selects=203
  match 120 seat1: winner=1 turns=5 selects=62
  match 121 seat0: winner=0 turns=7 selects=60
  match 121 seat1: winner=0 turns=14 selects=193
  match 122 seat0: winner=1 turns=16 selects=129
  match 122 seat1: winner=1 turns=13 selects=169
  match 123 seat0: winner=0 turns=11 selects=85
  match 123 seat1: winner=1 turns=9 selects=142
  match 124 seat0: winner=1 turns=16 selects=166
  match 124 seat1: winner=1 turns=9 selects=145
  match 125 seat0: winner=0 turns=3 selects=18
  match 125 seat1: winner=1 turns=11 selects=148
  match 126 seat0: winner=0 turns=13 selects=117
  match 126 seat1: winner=1 turns=13 selects=93
  match 127 seat0: winner=0 turns=7 selects=53
  match 127 seat1: winner=1 turns=13 selects=156
  match 128 seat0: winner=0 turns=13 selects=174
  match 128 seat1: winner=1 turns=11 selects=141
  match 129 seat0: winner=0 turns=13 selects=158
  match 129 seat1: winner=1 turns=17 selects=110
  match 130 seat0: winner=1 turns=16 selects=164
  match 130 seat1: winner=0 turns=12 selects=184
  match 131 seat0: winner=1 turns=12 selects=167
  match 131 seat1: winner=0 turns=12 selects=156
  match 132 seat0: winner=0 turns=15 selects=175
  match 132 seat1: winner=1 turns=5 selects=40
  match 133 seat0: winner=1 turns=14 selects=161
  match 133 seat1: winner=0 turns=10 selects=101
  match 134 seat0: winner=1 turns=14 selects=120
  match 134 seat1: winner=1 turns=11 selects=151
  match 135 seat0: winner=1 turns=12 selects=158
  match 135 seat1: winner=1 turns=13 selects=152
  match 136 seat0: winner=0 turns=13 selects=178
  match 136 seat1: winner=1 turns=13 selects=178
  match 137 seat0: winner=1 turns=12 selects=169
  match 137 seat1: winner=1 turns=9 selects=104
  match 138 seat0: winner=0 turns=11 selects=164
  match 138 seat1: winner=1 turns=11 selects=154
  match 139 seat0: winner=1 turns=10 selects=143
  match 139 seat1: winner=1 turns=11 selects=162
  match 140 seat0: winner=1 turns=12 selects=145
  match 140 seat1: winner=1 turns=13 selects=123
  match 141 seat0: winner=1 turns=14 selects=180
  match 141 seat1: winner=1 turns=3 selects=31
  match 142 seat0: winner=1 turns=14 selects=177
  match 142 seat1: winner=0 turns=8 selects=79
  match 143 seat0: winner=0 turns=3 selects=36
  match 143 seat1: winner=0 turns=12 selects=164
  match 144 seat0: winner=0 turns=11 selects=167
  match 144 seat1: winner=1 turns=13 selects=132
  match 145 seat0: winner=1 turns=10 selects=118
  match 145 seat1: winner=1 turns=11 selects=133
  match 146 seat0: winner=0 turns=15 selects=123
  match 146 seat1: winner=0 turns=14 selects=142
  match 147 seat0: winner=1 turns=14 selects=169
  match 147 seat1: winner=0 turns=10 selects=111
  match 148 seat0: winner=1 turns=12 selects=149
  match 148 seat1: winner=1 turns=13 selects=129
  match 149 seat0: winner=1 turns=12 selects=190
  match 149 seat1: winner=0 turns=12 selects=143
  match 150 seat0: winner=1 turns=16 selects=165
