=== arch@archaludon_ex vs rule:dragapult@dragapult_ex matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 109 seat0: winner=1 turns=10 selects=104
  match 109 seat1: winner=0 turns=22 selects=208
  match 110 seat0: winner=1 turns=10 selects=105
  match 110 seat1: winner=0 turns=6 selects=65
  match 111 seat0: winner=0 turns=15 selects=117
  match 111 seat1: winner=0 turns=20 selects=216
  match 112 seat0: winner=0 turns=13 selects=153
  match 112 seat1: winner=0 turns=16 selects=190
  match 113 seat0: winner=0 turns=11 selects=132
  match 113 seat1: winner=0 turns=12 selects=118
  match 114 seat0: winner=0 turns=11 selects=101
  match 114 seat1: winner=0 turns=14 selects=188
  match 115 seat0: winner=1 turns=14 selects=104
  match 115 seat1: winner=0 turns=14 selects=177
  match 116 seat0: winner=1 turns=22 selects=231
  match 116 seat1: winner=0 turns=16 selects=205
  match 117 seat0: winner=1 turns=12 selects=148
  match 117 seat1: winner=0 turns=18 selects=187
  match 118 seat0: winner=1 turns=16 selects=189
  match 118 seat1: winner=0 turns=16 selects=184
  match 119 seat0: winner=0 turns=21 selects=197
  match 119 seat1: winner=1 turns=15 selects=135
  match 120 seat0: winner=1 turns=4 selects=30
  match 120 seat1: winner=1 turns=15 selects=156
  match 121 seat0: winner=1 turns=12 selects=108
  match 121 seat1: winner=0 turns=8 selects=77
  match 122 seat0: winner=1 turns=14 selects=172
  match 122 seat1: winner=0 turns=6 selects=73
  match 123 seat0: winner=1 turns=16 selects=180
  match 123 seat1: winner=1 turns=17 selects=167
  match 124 seat0: winner=0 turns=15 selects=165
  match 124 seat1: winner=1 turns=13 selects=151
  match 125 seat0: winner=1 turns=16 selects=189
  match 125 seat1: winner=0 turns=16 selects=147
  match 126 seat0: winner=1 turns=14 selects=196
  match 126 seat1: winner=0 turns=12 selects=177
  match 127 seat0: winner=1 turns=14 selects=165
  match 127 seat1: winner=1 turns=17 selects=153
  match 128 seat0: winner=1 turns=16 selects=207
  match 128 seat1: winner=0 turns=14 selects=108
  match 129 seat0: winner=0 turns=15 selects=134
  match 129 seat1: winner=0 turns=16 selects=188
  match 130 seat0: winner=1 turns=14 selects=154
  match 130 seat1: winner=0 turns=14 selects=188
  match 131 seat0: winner=1 turns=14 selects=156
  match 131 seat1: winner=1 turns=17 selects=194
  match 132 seat0: winner=1 turns=14 selects=174
  match 132 seat1: winner=0 turns=14 selects=161
  match 133 seat0: winner=1 turns=12 selects=148
  match 133 seat1: winner=0 turns=20 selects=125
  match 134 seat0: winner=1 turns=14 selects=189
  match 134 seat1: winner=1 turns=17 selects=152
  match 135 seat0: winner=0 turns=15 selects=90
  match 135 seat1: winner=1 turns=13 selects=147
  match 136 seat0: winner=1 turns=10 selects=126
  match 136 seat1: winner=0 turns=10 selects=128
  match 137 seat0: winner=0 turns=11 selects=74
  match 137 seat1: winner=1 turns=26 selects=164
