=== arch@archaludon_ex vs rule:crustle@crustle_v1 matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 99 seat0: winner=1 turns=29 selects=113
  match 99 seat1: winner=0 turns=37 selects=145
  match 100 seat0: winner=1 turns=21 selects=111
  match 100 seat1: winner=0 turns=19 selects=99
  match 101 seat0: winner=1 turns=27 selects=119
  match 101 seat1: winner=0 turns=35 selects=130
  match 102 seat0: winner=1 turns=42 selects=143
  match 102 seat1: winner=0 turns=37 selects=125
  match 103 seat0: winner=1 turns=25 selects=123
  match 103 seat1: winner=0 turns=27 selects=108
  match 104 seat0: winner=1 turns=31 selects=128
  match 104 seat1: winner=0 turns=31 selects=107
  match 105 seat0: winner=1 turns=23 selects=103
  match 105 seat1: winner=0 turns=19 selects=95
  match 106 seat0: winner=1 turns=25 selects=98
  match 106 seat1: winner=1 turns=9 selects=60
  match 107 seat0: winner=1 turns=21 selects=102
  match 107 seat1: winner=0 turns=27 selects=118
  match 108 seat0: winner=1 turns=25 selects=118
  match 108 seat1: winner=0 turns=29 selects=108
  match 109 seat0: winner=1 turns=21 selects=106
  match 109 seat1: winner=0 turns=44 selects=136
  match 110 seat0: winner=1 turns=34 selects=125
  match 110 seat1: winner=0 turns=19 selects=96
  match 111 seat0: winner=1 turns=21 selects=103
  match 111 seat1: winner=0 turns=27 selects=113
  match 112 seat0: winner=1 turns=15 selects=90
  match 112 seat1: winner=0 turns=33 selects=131
  match 113 seat0: winner=1 turns=27 selects=114
  match 113 seat1: winner=0 turns=12 selects=35
  match 114 seat0: winner=1 turns=27 selects=96
  match 114 seat1: winner=0 turns=33 selects=117
  match 115 seat0: winner=1 turns=17 selects=101
  match 115 seat1: winner=0 turns=27 selects=121
  match 116 seat0: winner=1 turns=19 selects=104
  match 116 seat1: winner=0 turns=28 selects=104
  match 117 seat0: winner=1 turns=28 selects=115
  match 117 seat1: winner=0 turns=25 selects=117
  match 118 seat0: winner=1 turns=33 selects=122
  match 118 seat1: winner=1 turns=15 selects=78
  match 119 seat0: winner=0 turns=7 selects=46
  match 119 seat1: winner=0 turns=29 selects=134
  match 120 seat0: winner=0 turns=5 selects=35
  match 120 seat1: winner=0 turns=41 selects=136
  match 121 seat0: winner=1 turns=21 selects=94
  match 121 seat1: winner=0 turns=25 selects=107
  match 122 seat0: winner=1 turns=25 selects=114
  match 122 seat1: winner=0 turns=25 selects=115
  match 123 seat0: winner=1 turns=36 selects=115
  match 123 seat1: winner=0 turns=25 selects=111
  match 124 seat0: winner=1 turns=29 selects=120
  match 124 seat1: winner=0 turns=40 selects=135
  match 125 seat0: winner=1 turns=31 selects=126
  match 125 seat1: winner=0 turns=35 selects=137
  match 126 seat0: winner=1 turns=25 selects=104
  match 126 seat1: winner=0 turns=23 selects=105
  match 127 seat0: winner=1 turns=25 selects=101
  match 127 seat1: winner=0 turns=38 selects=142
  match 128 seat0: winner=1 turns=32 selects=121
  match 128 seat1: winner=0 turns=41 selects=159
  match 129 seat0: winner=0 turns=9 selects=65
  match 129 seat1: winner=0 turns=32 selects=129
  match 130 seat0: winner=1 turns=27 selects=116
  match 130 seat1: winner=0 turns=29 selects=105
  match 131 seat0: winner=0 turns=5 selects=39
  match 131 seat1: winner=0 turns=31 selects=116
  match 132 seat0: winner=1 turns=19 selects=98
  match 132 seat1: winner=0 turns=38 selects=124
  match 133 seat0: winner=1 turns=23 selects=83
  match 133 seat1: winner=0 turns=35 selects=126
  match 134 seat0: winner=1 turns=19 selects=94
  match 134 seat1: winner=0 turns=17 selects=80
  match 135 seat0: winner=1 turns=31 selects=128
  match 135 seat1: winner=0 turns=35 selects=133
  match 136 seat0: winner=1 turns=28 selects=118
  match 136 seat1: winner=0 turns=23 selects=114
  match 137 seat0: winner=1 turns=29 selects=130
  match 137 seat1: winner=1 turns=15 selects=72
  match 138 seat0: winner=1 turns=19 selects=91
  match 138 seat1: winner=0 turns=25 selects=97
  match 139 seat0: winner=0 turns=5 selects=35
  match 139 seat1: winner=0 turns=19 selects=83
  match 140 seat0: winner=1 turns=25 selects=93
  match 140 seat1: winner=0 turns=37 selects=121
  match 141 seat0: winner=1 turns=27 selects=120
  match 141 seat1: winner=0 turns=19 selects=94
  match 142 seat0: winner=1 turns=19 selects=84
  match 142 seat1: winner=0 turns=17 selects=97
  match 143 seat0: winner=1 turns=17 selects=87
  match 143 seat1: winner=0 turns=21 selects=107
  match 144 seat0: winner=1 turns=15 selects=97
  match 144 seat1: winner=0 turns=21 selects=97
  match 145 seat0: winner=1 turns=17 selects=89
  match 145 seat1: winner=0 turns=31 selects=124
  match 146 seat0: winner=1 turns=23 selects=118
  match 146 seat1: winner=0 turns=29 selects=118
  match 147 seat0: winner=1 turns=19 selects=79
  match 147 seat1: winner=0 turns=35 selects=151
  match 148 seat0: winner=1 turns=28 selects=112
  match 148 seat1: winner=0 turns=35 selects=123
  match 149 seat0: winner=1 turns=21 selects=100
  match 149 seat1: winner=0 turns=33 selects=135
  match 150 seat0: winner=1 turns=15 selects=86
  match 150 seat1: winner=0 turns=35 selects=134
  match 151 seat0: winner=1 turns=23 selects=109
  match 151 seat1: winner=0 turns=28 selects=114
  match 152 seat0: winner=1 turns=29 selects=111
  match 152 seat1: winner=0 turns=21 selects=91
  match 153 seat0: winner=1 turns=33 selects=140
  match 153 seat1: winner=0 turns=35 selects=127
  match 154 seat0: winner=1 turns=19 selects=91
  match 154 seat1: winner=0 turns=27 selects=100
  match 155 seat0: winner=1 turns=29 selects=122
  match 155 seat1: winner=0 turns=23 selects=92
  match 156 seat0: winner=1 turns=21 selects=98
  match 156 seat1: winner=0 turns=21 selects=115
  match 157 seat0: winner=1 turns=33 selects=135
  match 157 seat1: winner=0 turns=37 selects=136
  match 158 seat0: winner=1 turns=27 selects=112
  match 158 seat1: winner=0 turns=38 selects=126
  match 159 seat0: winner=1 turns=13 selects=83
  match 159 seat1: winner=0 turns=25 selects=106
  match 160 seat0: winner=1 turns=17 selects=97
  match 160 seat1: winner=0 turns=13 selects=79
  match 161 seat0: winner=1 turns=17 selects=92
  match 161 seat1: winner=1 turns=5 selects=36
  match 162 seat0: winner=1 turns=21 selects=101
  match 162 seat1: winner=0 turns=23 selects=110
  match 163 seat0: winner=1 turns=33 selects=134
  match 163 seat1: winner=0 turns=33 selects=138
  match 164 seat0: winner=1 turns=21 selects=113
  match 164 seat1: winner=0 turns=19 selects=86
  match 165 seat0: winner=1 turns=35 selects=117
  match 165 seat1: winner=0 turns=25 selects=105
  match 166 seat0: winner=1 turns=35 selects=127
  match 166 seat1: winner=0 turns=33 selects=119
  match 167 seat0: winner=1 turns=17 selects=83
  match 167 seat1: winner=0 turns=29 selects=106
  match 168 seat0: winner=1 turns=23 selects=108
  match 168 seat1: winner=0 turns=17 selects=93
  match 169 seat0: winner=1 turns=19 selects=94
  match 169 seat1: winner=1 turns=7 selects=45
  match 170 seat0: winner=1 turns=19 selects=95
  match 170 seat1: winner=0 turns=29 selects=123
  match 171 seat0: winner=1 turns=31 selects=115
  match 171 seat1: winner=0 turns=30 selects=128
  match 172 seat0: winner=1 turns=27 selects=116
  match 172 seat1: winner=0 turns=19 selects=83
  match 173 seat0: winner=0 turns=15 selects=91
  match 173 seat1: winner=0 turns=28 selects=112
  match 174 seat0: winner=1 turns=33 selects=136
  match 174 seat1: winner=0 turns=23 selects=112
  match 175 seat0: winner=1 turns=21 selects=102
  match 175 seat1: winner=0 turns=19 selects=98
  match 176 seat0: winner=0 turns=7 selects=52
  match 176 seat1: winner=0 turns=28 selects=118
  match 177 seat0: winner=1 turns=17 selects=97
  match 177 seat1: winner=0 turns=19 selects=82
  match 178 seat0: winner=1 turns=35 selects=141
  match 178 seat1: winner=0 turns=13 selects=62
  match 179 seat0: winner=1 turns=27 selects=111
  match 179 seat1: winner=0 turns=23 selects=106
  match 180 seat0: winner=1 turns=27 selects=111
