=== ala@alakazam5 vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 111 seat1: winner=0 turns=11 selects=168
  match 112 seat0: winner=1 turns=12 selects=180
  match 112 seat1: winner=0 turns=11 selects=181
  match 113 seat0: winner=1 turns=14 selects=207
  match 113 seat1: winner=1 turns=12 selects=194
  match 114 seat0: winner=1 turns=14 selects=160
  match 114 seat1: winner=0 turns=17 selects=230
  match 115 seat0: winner=1 turns=12 selects=182
  match 115 seat1: winner=0 turns=11 selects=134
  match 116 seat0: winner=0 turns=11 selects=125
  match 116 seat1: winner=0 turns=11 selects=166
  match 117 seat0: winner=1 turns=12 selects=177
  match 117 seat1: winner=0 turns=15 selects=203
  match 118 seat0: winner=0 turns=13 selects=96
  match 118 seat1: winner=1 turns=12 selects=152
  match 119 seat0: winner=1 turns=12 selects=184
  match 119 seat1: winner=1 turns=14 selects=206
  match 120 seat0: winner=1 turns=10 selects=159
  match 120 seat1: winner=0 turns=11 selects=171
  match 121 seat0: winner=0 turns=15 selects=202
  match 121 seat1: winner=0 turns=15 selects=178
  match 122 seat0: winner=1 turns=16 selects=203
  match 122 seat1: winner=0 turns=11 selects=148
  match 123 seat0: winner=1 turns=10 selects=175
  match 123 seat1: winner=0 turns=11 selects=139
  match 124 seat0: winner=1 turns=12 selects=161
  match 124 seat1: winner=0 turns=9 selects=144
  match 125 seat0: winner=1 turns=14 selects=175
  match 125 seat1: winner=0 turns=19 selects=199
  match 126 seat0: winner=1 turns=12 selects=178
  match 126 seat1: winner=0 turns=9 selects=144
  match 127 seat0: winner=1 turns=16 selects=222
  match 127 seat1: winner=0 turns=14 selects=190
  match 128 seat0: winner=1 turns=12 selects=186
  match 128 seat1: winner=0 turns=11 selects=168
  match 129 seat0: winner=1 turns=10 selects=153
  match 129 seat1: winner=0 turns=13 selects=158
  match 130 seat0: winner=0 turns=17 selects=202
  match 130 seat1: winner=0 turns=13 selects=157
  match 131 seat0: winner=1 turns=18 selects=168
  match 131 seat1: winner=0 turns=12 selects=165
  match 132 seat0: winner=0 turns=9 selects=172
  match 132 seat1: winner=1 turns=16 selects=230
  match 133 seat0: winner=0 turns=11 selects=170
  match 133 seat1: winner=0 turns=12 selects=174
  match 134 seat0: winner=1 turns=14 selects=225
  match 134 seat1: winner=0 turns=13 selects=201
  match 135 seat0: winner=1 turns=12 selects=205
