=== ala@alakazam5 vs rule:alakazam5@alakazam5 matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 59 seat1: winner=1 turns=16 selects=164
  match 60 seat0: winner=0 turns=15 selects=150
  match 60 seat1: winner=1 turns=8 selects=74
  match 61 seat0: winner=0 turns=15 selects=141
  match 61 seat1: winner=1 turns=14 selects=88
  match 62 seat0: winner=0 turns=24 selects=177
  match 62 seat1: winner=1 turns=16 selects=151
  match 63 seat0: winner=1 turns=14 selects=159
  match 63 seat1: winner=1 turns=15 selects=168
  match 64 seat0: winner=0 turns=17 selects=171
  match 64 seat1: winner=1 turns=12 selects=135
  match 65 seat0: winner=0 turns=15 selects=161
  match 65 seat1: winner=1 turns=12 selects=145
  match 66 seat0: winner=0 turns=15 selects=160
  match 66 seat1: winner=0 turns=13 selects=145
  match 67 seat0: winner=0 turns=13 selects=120
  match 67 seat1: winner=0 turns=16 selects=164
  match 68 seat0: winner=0 turns=11 selects=92
  match 68 seat1: winner=0 turns=11 selects=129
  match 69 seat0: winner=1 turns=16 selects=192
  match 69 seat1: winner=1 turns=14 selects=150
  match 70 seat0: winner=0 turns=15 selects=136
  match 70 seat1: winner=1 turns=17 selects=179
  match 71 seat0: winner=0 turns=3 selects=38
  match 71 seat1: winner=1 turns=16 selects=154
  match 72 seat0: winner=1 turns=17 selects=168
  match 72 seat1: winner=0 turns=13 selects=163
  match 73 seat0: winner=0 turns=11 selects=135
  match 73 seat1: winner=1 turns=12 selects=134
  match 74 seat0: winner=0 turns=16 selects=182
  match 74 seat1: winner=0 turns=16 selects=177
  match 75 seat0: winner=1 turns=29 selects=213
  match 75 seat1: winner=1 turns=12 selects=113
  match 76 seat0: winner=0 turns=13 selects=150
  match 76 seat1: winner=1 turns=15 selects=186
  match 77 seat0: winner=0 turns=11 selects=113
  match 77 seat1: winner=1 turns=14 selects=146
  match 78 seat0: winner=0 turns=13 selects=107
  match 78 seat1: winner=0 turns=15 selects=149
  match 79 seat0: winner=0 turns=15 selects=157
  match 79 seat1: winner=1 turns=16 selects=116
  match 80 seat0: winner=0 turns=11 selects=127
  match 80 seat1: winner=0 turns=21 selects=224
  match 81 seat0: winner=0 turns=17 selects=126
  match 81 seat1: winner=1 turns=16 selects=164
  match 82 seat0: winner=0 turns=17 selects=157
