=== luc@lucario_v10 vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea8e4-31b603; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 99 seat0: winner=0 turns=11 selects=75
  match 99 seat1: winner=1 turns=11 selects=74
  match 100 seat0: winner=1 turns=25 selects=149
  match 100 seat1: winner=0 turns=19 selects=113
  match 101 seat0: winner=0 turns=11 selects=79
  match 101 seat1: winner=1 turns=9 selects=75
  match 102 seat0: winner=1 turns=13 selects=95
  match 102 seat1: winner=0 turns=24 selects=178
  match 103 seat0: winner=0 turns=7 selects=62
  match 103 seat1: winner=0 turns=18 selects=66
  match 104 seat0: winner=0 turns=15 selects=101
  match 104 seat1: winner=0 turns=15 selects=103
  match 105 seat0: winner=0 turns=15 selects=91
  match 105 seat1: winner=1 turns=23 selects=128
  match 106 seat0: winner=1 turns=27 selects=179
  match 106 seat1: winner=1 turns=9 selects=77
  match 107 seat0: winner=1 turns=21 selects=158
  match 107 seat1: winner=0 turns=19 selects=132
  match 108 seat0: winner=0 turns=9 selects=79
  match 108 seat1: winner=0 turns=13 selects=96
  match 109 seat0: winner=1 turns=17 selects=126
  match 109 seat1: winner=1 turns=9 selects=71
  match 110 seat0: winner=1 turns=17 selects=101
  match 110 seat1: winner=0 turns=20 selects=101
  match 111 seat0: winner=1 turns=19 selects=131
  match 111 seat1: winner=1 turns=11 selects=96
  match 112 seat0: winner=1 turns=21 selects=129
  match 112 seat1: winner=1 turns=17 selects=101
  match 113 seat0: winner=0 turns=15 selects=91
  match 113 seat1: winner=1 turns=11 selects=74
  match 114 seat0: winner=1 turns=22 selects=154
  match 114 seat1: winner=0 turns=25 selects=154
  match 115 seat0: winner=0 turns=11 selects=81
  match 115 seat1: winner=0 turns=19 selects=139
  match 116 seat0: winner=1 turns=17 selects=106
  match 116 seat1: winner=0 turns=32 selects=176
  match 117 seat0: winner=1 turns=23 selects=148
  match 117 seat1: winner=0 turns=13 selects=107
  match 118 seat0: winner=1 turns=25 selects=135
  match 118 seat1: winner=1 turns=11 selects=85
  match 119 seat0: winner=1 turns=16 selects=83
  match 119 seat1: winner=1 turns=13 selects=91
  match 120 seat0: winner=1 turns=13 selects=103
  match 120 seat1: winner=0 turns=15 selects=112
  match 121 seat0: winner=0 turns=15 selects=99
  match 121 seat1: winner=0 turns=27 selects=182
  match 122 seat0: winner=0 turns=17 selects=104
  match 122 seat1: winner=0 turns=20 selects=114
  match 123 seat0: winner=1 turns=21 selects=130
  match 123 seat1: winner=0 turns=13 selects=93
  match 124 seat0: winner=1 turns=21 selects=136
  match 124 seat1: winner=0 turns=26 selects=139
  match 125 seat0: winner=0 turns=19 selects=129
  match 125 seat1: winner=1 turns=9 selects=59
  match 126 seat0: winner=0 turns=5 selects=49
  match 126 seat1: winner=0 turns=32 selects=215
  match 127 seat0: winner=1 turns=17 selects=128
  match 127 seat1: winner=1 turns=11 selects=82
  match 128 seat0: winner=1 turns=17 selects=143
  match 128 seat1: winner=1 turns=11 selects=83
  match 129 seat0: winner=1 turns=13 selects=88
  match 129 seat1: winner=0 turns=26 selects=178
  match 130 seat0: winner=0 turns=17 selects=107
  match 130 seat1: winner=0 turns=13 selects=95
  match 131 seat0: winner=0 turns=13 selects=92
  match 131 seat1: winner=1 turns=13 selects=93
  match 132 seat0: winner=0 turns=9 selects=81
  match 132 seat1: winner=1 turns=15 selects=105
  match 133 seat0: winner=1 turns=13 selects=98
  match 133 seat1: winner=0 turns=25 selects=162
  match 134 seat0: winner=0 turns=17 selects=127
  match 134 seat1: winner=1 turns=9 selects=82
