=== gar@cynthia_garchomp vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 95 seat0: winner=0 turns=15 selects=195
  match 95 seat1: winner=0 turns=13 selects=190
  match 96 seat0: winner=1 turns=12 selects=201
  match 96 seat1: winner=0 turns=13 selects=202
  match 97 seat0: winner=1 turns=14 selects=172
  match 97 seat1: winner=0 turns=9 selects=124
  match 98 seat0: winner=1 turns=16 selects=179
  match 98 seat1: winner=0 turns=13 selects=183
  match 99 seat0: winner=1 turns=14 selects=210
  match 99 seat1: winner=0 turns=21 selects=235
  match 100 seat0: winner=1 turns=14 selects=214
  match 100 seat1: winner=0 turns=13 selects=187
  match 101 seat0: winner=1 turns=12 selects=179
  match 101 seat1: winner=0 turns=9 selects=145
  match 102 seat0: winner=1 turns=10 selects=160
  match 102 seat1: winner=0 turns=13 selects=182
  match 103 seat0: winner=1 turns=20 selects=275
  match 103 seat1: winner=0 turns=15 selects=212
  match 104 seat0: winner=0 turns=13 selects=176
  match 104 seat1: winner=0 turns=17 selects=165
  match 105 seat0: winner=0 turns=13 selects=209
  match 105 seat1: winner=0 turns=19 selects=238
  match 106 seat0: winner=1 turns=16 selects=220
  match 106 seat1: winner=0 turns=11 selects=193
  match 107 seat0: winner=0 turns=15 selects=212
  match 107 seat1: winner=0 turns=11 selects=147
  match 108 seat0: winner=0 turns=11 selects=165
  match 108 seat1: winner=0 turns=9 selects=149
  match 109 seat0: winner=0 turns=19 selects=245
  match 109 seat1: winner=0 turns=11 selects=168
  match 110 seat0: winner=1 turns=10 selects=164
  match 110 seat1: winner=1 turns=18 selects=213
  match 111 seat0: winner=1 turns=10 selects=175
  match 111 seat1: winner=0 turns=13 selects=197
  match 112 seat0: winner=1 turns=12 selects=164
  match 112 seat1: winner=0 turns=19 selects=189
  match 113 seat0: winner=0 turns=11 selects=158
  match 113 seat1: winner=0 turns=13 selects=182
  match 114 seat0: winner=0 turns=19 selects=167
  match 114 seat1: winner=0 turns=13 selects=138
  match 115 seat0: winner=0 turns=11 selects=127
  match 115 seat1: winner=1 turns=14 selects=183
  match 116 seat0: winner=0 turns=15 selects=146
  match 116 seat1: winner=0 turns=15 selects=200
  match 117 seat0: winner=1 turns=12 selects=182
  match 117 seat1: winner=0 turns=11 selects=145
  match 118 seat0: winner=1 turns=18 selects=243
  match 118 seat1: winner=1 turns=16 selects=229
  match 119 seat0: winner=1 turns=4 selects=47
  match 119 seat1: winner=1 turns=14 selects=177
  match 120 seat0: winner=1 turns=16 selects=165
  match 120 seat1: winner=0 turns=13 selects=205
  match 121 seat0: winner=1 turns=10 selects=150
  match 121 seat1: winner=0 turns=5 selects=45
  match 122 seat0: winner=1 turns=12 selects=184
  match 122 seat1: winner=0 turns=9 selects=119
  match 123 seat0: winner=1 turns=12 selects=191
  match 123 seat1: winner=1 turns=14 selects=212
  match 124 seat0: winner=1 turns=12 selects=176
  match 124 seat1: winner=0 turns=13 selects=175
  match 125 seat0: winner=1 turns=14 selects=194
  match 125 seat1: winner=0 turns=11 selects=180
  match 126 seat0: winner=1 turns=14 selects=220
  match 126 seat1: winner=0 turns=5 selects=49
  match 127 seat0: winner=1 turns=14 selects=191
  match 127 seat1: winner=0 turns=13 selects=151
  match 128 seat0: winner=0 turns=13 selects=215
  match 128 seat1: winner=0 turns=13 selects=156
  match 129 seat0: winner=1 turns=14 selects=200
  match 129 seat1: winner=0 turns=11 selects=155
  match 130 seat0: winner=1 turns=14 selects=165
  match 130 seat1: winner=0 turns=15 selects=186
  match 131 seat0: winner=1 turns=14 selects=172
  match 131 seat1: winner=0 turns=19 selects=214
  match 132 seat0: winner=1 turns=16 selects=216
  match 132 seat1: winner=0 turns=15 selects=212
  match 133 seat0: winner=0 turns=5 selects=42
  match 133 seat1: winner=1 turns=6 selects=52
  match 134 seat0: winner=1 turns=10 selects=173
  match 134 seat1: winner=1 turns=18 selects=212
  match 135 seat0: winner=0 turns=13 selects=150
  match 135 seat1: winner=0 turns=3 selects=38
  match 136 seat0: winner=1 turns=14 selects=193
  match 136 seat1: winner=0 turns=13 selects=189
  match 137 seat0: winner=0 turns=13 selects=165
  match 137 seat1: winner=0 turns=13 selects=170
  match 138 seat0: winner=0 turns=11 selects=161
  match 138 seat1: winner=0 turns=15 selects=195
  match 139 seat0: winner=0 turns=15 selects=158
  match 139 seat1: winner=0 turns=17 selects=183
  match 140 seat0: winner=0 turns=17 selects=215
  match 140 seat1: winner=0 turns=11 selects=191
  match 141 seat0: winner=1 turns=18 selects=199
  match 141 seat1: winner=0 turns=13 selects=212
  match 142 seat0: winner=1 turns=10 selects=145
  match 142 seat1: winner=1 turns=20 selects=240
  match 143 seat0: winner=1 turns=12 selects=210
  match 143 seat1: winner=1 turns=18 selects=174
  match 144 seat0: winner=1 turns=14 selects=208
  match 144 seat1: winner=0 turns=13 selects=175
  match 145 seat0: winner=0 turns=23 selects=146
  match 145 seat1: winner=0 turns=13 selects=195
  match 146 seat0: winner=1 turns=12 selects=176
  match 146 seat1: winner=0 turns=13 selects=188
  match 147 seat0: winner=0 turns=11 selects=175
  match 147 seat1: winner=1 turns=12 selects=142
  match 148 seat0: winner=0 turns=15 selects=198
  match 148 seat1: winner=0 turns=11 selects=182
  match 149 seat0: winner=1 turns=12 selects=108
  match 149 seat1: winner=0 turns=11 selects=147
