=== oger@teal_mask_ogerpon vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacae-a83f02; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 90 seat0: winner=1 turns=23 selects=134
  match 90 seat1: winner=0 turns=20 selects=132
  match 91 seat0: winner=1 turns=19 selects=123
  match 91 seat1: winner=0 turns=20 selects=120
  match 92 seat0: winner=1 turns=22 selects=138
  match 92 seat1: winner=0 turns=15 selects=126
  match 93 seat0: winner=1 turns=21 selects=130
  match 93 seat1: winner=0 turns=22 selects=140
  match 94 seat0: winner=1 turns=20 selects=132
  match 94 seat1: winner=0 turns=20 selects=114
  match 95 seat0: winner=1 turns=22 selects=130
  match 95 seat1: winner=0 turns=20 selects=101
  match 96 seat0: winner=1 turns=23 selects=128
  match 96 seat1: winner=0 turns=19 selects=135
  match 97 seat0: winner=1 turns=22 selects=125
  match 97 seat1: winner=0 turns=20 selects=133
  match 98 seat0: winner=1 turns=18 selects=130
  match 98 seat1: winner=0 turns=21 selects=148
  match 99 seat0: winner=1 turns=17 selects=123
  match 99 seat1: winner=0 turns=21 selects=119
  match 100 seat0: winner=1 turns=22 selects=111
  match 100 seat1: winner=0 turns=20 selects=137
  match 101 seat0: winner=1 turns=21 selects=129
  match 101 seat1: winner=0 turns=25 selects=146
  match 102 seat0: winner=1 turns=10 selects=61
  match 102 seat1: winner=0 turns=22 selects=122
  match 103 seat0: winner=1 turns=22 selects=139
  match 103 seat1: winner=0 turns=24 selects=140
  match 104 seat0: winner=1 turns=20 selects=118
  match 104 seat1: winner=0 turns=17 selects=109
  match 105 seat0: winner=1 turns=19 selects=130
  match 105 seat1: winner=0 turns=22 selects=139
  match 106 seat0: winner=1 turns=22 selects=134
  match 106 seat1: winner=0 turns=16 selects=126
  match 107 seat0: winner=1 turns=20 selects=132
  match 107 seat1: winner=0 turns=24 selects=137
  match 108 seat0: winner=1 turns=21 selects=136
  match 108 seat1: winner=0 turns=20 selects=134
  match 109 seat0: winner=1 turns=24 selects=130
  match 109 seat1: winner=0 turns=19 selects=125
  match 110 seat0: winner=1 turns=18 selects=124
  match 110 seat1: winner=0 turns=20 selects=116
  match 111 seat0: winner=1 turns=20 selects=129
  match 111 seat1: winner=0 turns=20 selects=124
  match 112 seat0: winner=1 turns=23 selects=133
  match 112 seat1: winner=0 turns=24 selects=130
  match 113 seat0: winner=1 turns=22 selects=117
  match 113 seat1: winner=0 turns=20 selects=140
  match 114 seat0: winner=1 turns=21 selects=144
  match 114 seat1: winner=0 turns=21 selects=129
  match 115 seat0: winner=1 turns=21 selects=129
  match 115 seat1: winner=0 turns=22 selects=143
  match 116 seat0: winner=1 turns=24 selects=129
  match 116 seat1: winner=0 turns=22 selects=141
  match 117 seat0: winner=1 turns=22 selects=136
  match 117 seat1: winner=0 turns=20 selects=120
  match 118 seat0: winner=1 turns=19 selects=131
  match 118 seat1: winner=0 turns=16 selects=106
  match 119 seat0: winner=1 turns=22 selects=129
  match 119 seat1: winner=0 turns=16 selects=118
  match 120 seat0: winner=1 turns=14 selects=106
  match 120 seat1: winner=0 turns=20 selects=115
  match 121 seat0: winner=1 turns=19 selects=124
  match 121 seat1: winner=0 turns=28 selects=141
  match 122 seat0: winner=1 turns=20 selects=139
  match 122 seat1: winner=0 turns=22 selects=140
  match 123 seat0: winner=1 turns=20 selects=139
  match 123 seat1: winner=0 turns=24 selects=134
