=== ala@alakazam5 vs rule:dragapult@dragapult_ex matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 140 seat1: winner=0 turns=16 selects=235
  match 141 seat0: winner=0 turns=9 selects=115
  match 141 seat1: winner=1 turns=15 selects=198
  match 142 seat0: winner=0 turns=13 selects=129
  match 142 seat1: winner=0 turns=10 selects=158
  match 143 seat0: winner=1 turns=10 selects=120
  match 143 seat1: winner=0 turns=16 selects=225
  match 144 seat0: winner=1 turns=12 selects=155
  match 144 seat1: winner=0 turns=14 selects=174
  match 145 seat0: winner=0 turns=15 selects=155
  match 145 seat1: winner=0 turns=12 selects=176
  match 146 seat0: winner=0 turns=11 selects=161
  match 146 seat1: winner=1 turns=11 selects=75
  match 147 seat0: winner=1 turns=12 selects=172
  match 147 seat1: winner=1 turns=13 selects=177
  match 148 seat0: winner=1 turns=6 selects=63
  match 148 seat1: winner=0 turns=22 selects=265
  match 149 seat0: winner=0 turns=17 selects=157
  match 149 seat1: winner=0 turns=14 selects=211
  match 150 seat0: winner=1 turns=14 selects=210
  match 150 seat1: winner=0 turns=12 selects=176
  match 151 seat0: winner=0 turns=11 selects=114
  match 151 seat1: winner=0 turns=12 selects=192
  match 152 seat0: winner=0 turns=15 selects=166
  match 152 seat1: winner=0 turns=12 selects=172
  match 153 seat0: winner=1 turns=14 selects=191
  match 153 seat1: winner=0 turns=12 selects=191
  match 154 seat0: winner=1 turns=14 selects=212
  match 154 seat1: winner=0 turns=16 selects=231
  match 155 seat0: winner=0 turns=7 selects=93
  match 155 seat1: winner=1 turns=15 selects=164
  match 156 seat0: winner=0 turns=11 selects=141
  match 156 seat1: winner=1 turns=11 selects=128
  match 157 seat0: winner=0 turns=11 selects=153
  match 157 seat1: winner=0 turns=10 selects=181
  match 158 seat0: winner=1 turns=12 selects=179
  match 158 seat1: winner=1 turns=11 selects=160
  match 159 seat0: winner=1 turns=14 selects=171
  match 159 seat1: winner=0 turns=12 selects=166
  match 160 seat0: winner=0 turns=13 selects=97
  match 160 seat1: winner=1 turns=11 selects=151
  match 161 seat0: winner=0 turns=17 selects=173
  match 161 seat1: winner=1 turns=11 selects=178
  match 162 seat0: winner=0 turns=13 selects=148
  match 162 seat1: winner=0 turns=13 selects=209
  match 163 seat0: winner=1 turns=13 selects=116
  match 163 seat1: winner=1 turns=11 selects=180
  match 164 seat0: winner=1 turns=12 selects=165
  match 164 seat1: winner=1 turns=15 selects=138
  match 165 seat0: winner=1 turns=13 selects=195
  match 165 seat1: winner=0 turns=13 selects=158
  match 166 seat0: winner=0 turns=11 selects=153
  match 166 seat1: winner=1 turns=11 selects=112
  match 167 seat0: winner=0 turns=13 selects=133
  match 167 seat1: winner=1 turns=11 selects=163
  match 168 seat0: winner=0 turns=11 selects=147
  match 168 seat1: winner=0 turns=10 selects=149
  match 169 seat0: winner=0 turns=11 selects=151
  match 169 seat1: winner=0 turns=12 selects=182
  match 170 seat0: winner=0 turns=13 selects=205
  match 170 seat1: winner=1 turns=13 selects=143
  match 171 seat0: winner=0 turns=11 selects=175
  match 171 seat1: winner=1 turns=9 selects=68
  match 172 seat0: winner=1 turns=15 selects=151
  match 172 seat1: winner=1 turns=11 selects=155
  match 173 seat0: winner=1 turns=12 selects=187
  match 173 seat1: winner=1 turns=13 selects=144
  match 174 seat0: winner=1 turns=10 selects=153
  match 174 seat1: winner=0 turns=10 selects=156
  match 175 seat0: winner=0 turns=13 selects=180
  match 175 seat1: winner=0 turns=18 selects=251
  match 176 seat0: winner=0 turns=11 selects=154
  match 176 seat1: winner=1 turns=7 selects=73
  match 177 seat0: winner=0 turns=13 selects=161
  match 177 seat1: winner=1 turns=13 selects=136
  match 178 seat0: winner=1 turns=12 selects=188
  match 178 seat1: winner=1 turns=15 selects=186
  match 179 seat0: winner=0 turns=11 selects=154
  match 179 seat1: winner=1 turns=11 selects=113
  match 180 seat0: winner=0 turns=15 selects=185
  match 180 seat1: winner=1 turns=13 selects=154
  match 181 seat0: winner=1 turns=12 selects=190
  match 181 seat1: winner=0 turns=12 selects=171
  match 182 seat0: winner=1 turns=14 selects=170
  match 182 seat1: winner=0 turns=16 selects=199
  match 183 seat0: winner=1 turns=10 selects=180
  match 183 seat1: winner=1 turns=13 selects=149
  match 184 seat0: winner=1 turns=12 selects=165
  match 184 seat1: winner=1 turns=9 selects=117
  match 185 seat0: winner=0 turns=13 selects=157
  match 185 seat1: winner=1 turns=13 selects=142
  match 186 seat0: winner=1 turns=14 selects=226
  match 186 seat1: winner=1 turns=11 selects=142
  match 187 seat0: winner=1 turns=10 selects=122
  match 187 seat1: winner=0 turns=14 selects=160
  match 188 seat0: winner=0 turns=9 selects=114
  match 188 seat1: winner=1 turns=11 selects=146
  match 189 seat0: winner=1 turns=10 selects=161
  match 189 seat1: winner=1 turns=13 selects=171
  match 190 seat0: winner=0 turns=11 selects=135
  match 190 seat1: winner=1 turns=13 selects=157
  match 191 seat0: winner=1 turns=12 selects=172
  match 191 seat1: winner=0 turns=18 selects=195
  match 192 seat0: winner=0 turns=11 selects=146
  match 192 seat1: winner=0 turns=18 selects=209
  match 193 seat0: winner=1 turns=12 selects=180
  match 193 seat1: winner=1 turns=3 selects=39
  match 194 seat0: winner=1 turns=14 selects=191
  match 194 seat1: winner=1 turns=9 selects=133
  match 195 seat0: winner=0 turns=11 selects=146
  match 195 seat1: winner=1 turns=11 selects=133
  match 196 seat0: winner=0 turns=17 selects=187
  match 196 seat1: winner=1 turns=11 selects=139
  match 197 seat0: winner=1 turns=12 selects=169
  match 197 seat1: winner=1 turns=5 selects=57
  match 198 seat0: winner=0 turns=11 selects=130
  match 198 seat1: winner=0 turns=14 selects=170
  match 199 seat0: winner=0 turns=11 selects=105
  match 199 seat1: winner=1 turns=3 selects=38

A=bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.557 [0.509, 0.605] W223/D0/L177 over 400 games
  as P0: W/D/L=(111, 0, 89)  as P1: W/D/L=(112, 0, 88)
  elapsed 69.2s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_ala_alakazam5_vs_ruledragapult_dragapult_ex.jsonl
  [health] OK calls=27719 fallbacks=0 net_missing=0 deck=400
