=== ala@alakazam5 vs rule:crustle@crustle_v1 matches=200 ===
  match 99 seat0: winner=0 turns=7 selects=46
  match 99 seat1: winner=1 turns=3 selects=38
  match 100 seat0: winner=0 turns=7 selects=60
  match 100 seat1: winner=1 turns=3 selects=23
  match 101 seat0: winner=1 turns=61 selects=117
  match 101 seat1: winner=1 turns=9 selects=71
  match 102 seat0: winner=0 turns=7 selects=53
  match 102 seat1: winner=0 turns=27 selects=129
  match 103 seat0: winner=0 turns=13 selects=82
  match 103 seat1: winner=1 turns=3 selects=37
  match 104 seat0: winner=0 turns=11 selects=76
  match 104 seat1: winner=1 turns=3 selects=40
  match 105 seat0: winner=0 turns=9 selects=65
  match 105 seat1: winner=1 turns=3 selects=27
  match 106 seat0: winner=0 turns=5 selects=38
  match 106 seat1: winner=1 turns=7 selects=56
  match 107 seat0: winner=0 turns=7 selects=60
  match 107 seat1: winner=1 turns=11 selects=73
  match 108 seat0: winner=0 turns=11 selects=63
  match 108 seat1: winner=1 turns=7 selects=63
  match 109 seat0: winner=0 turns=3 selects=31
  match 109 seat1: winner=1 turns=11 selects=67
  match 110 seat0: winner=0 turns=11 selects=89
  match 110 seat1: winner=1 turns=13 selects=74
  match 111 seat0: winner=0 turns=5 selects=41
  match 111 seat1: winner=0 turns=25 selects=141
  match 112 seat0: winner=0 turns=5 selects=46
  match 112 seat1: winner=1 turns=5 selects=43
  match 113 seat0: winner=0 turns=11 selects=75
  match 113 seat1: winner=1 turns=3 selects=33
  match 114 seat0: winner=0 turns=5 selects=43
  match 114 seat1: winner=1 turns=9 selects=61
  match 115 seat0: winner=0 turns=3 selects=28
  match 115 seat1: winner=1 turns=11 selects=66
  match 116 seat0: winner=0 turns=9 selects=63
  match 116 seat1: winner=1 turns=17 selects=107
  match 117 seat0: winner=0 turns=9 selects=57
  match 117 seat1: winner=1 turns=17 selects=111
  match 118 seat0: winner=0 turns=5 selects=43
  match 118 seat1: winner=1 turns=3 selects=31
  match 119 seat0: winner=0 turns=7 selects=51
  match 119 seat1: winner=1 turns=9 selects=62
