=== arch@archaludon_ex vs rule:v10,noS@lucario_v10 matches=250 ===
  match 222 seat0: winner=1 turns=17 selects=176
  match 222 seat1: winner=0 turns=11 selects=100
  match 223 seat0: winner=0 turns=11 selects=128
  match 223 seat1: winner=0 turns=5 selects=67
  match 224 seat0: winner=1 turns=15 selects=149
  match 224 seat1: winner=0 turns=12 selects=134
  match 225 seat0: winner=1 turns=14 selects=154
  match 225 seat1: winner=0 turns=9 selects=77
  match 226 seat0: winner=0 turns=13 selects=123
  match 226 seat1: winner=1 turns=12 selects=138
  match 227 seat0: winner=1 turns=18 selects=152
  match 227 seat1: winner=0 turns=13 selects=129
  match 228 seat0: winner=0 turns=13 selects=124
  match 228 seat1: winner=0 turns=15 selects=155
  match 229 seat0: winner=0 turns=13 selects=141
  match 229 seat1: winner=1 turns=6 selects=59
  match 230 seat0: winner=1 turns=12 selects=114
  match 230 seat1: winner=0 turns=16 selects=160
  match 231 seat0: winner=0 turns=13 selects=134
  match 231 seat1: winner=0 turns=9 selects=106
  match 232 seat0: winner=1 turns=14 selects=155
  match 232 seat1: winner=0 turns=15 selects=139
  match 233 seat0: winner=1 turns=12 selects=124
  match 233 seat1: winner=0 turns=11 selects=114
  match 234 seat0: winner=0 turns=17 selects=158
  match 234 seat1: winner=0 turns=11 selects=125
  match 235 seat0: winner=1 turns=10 selects=104
  match 235 seat1: winner=0 turns=15 selects=173
  match 236 seat0: winner=0 turns=13 selects=119
  match 236 seat1: winner=0 turns=15 selects=152
  match 237 seat0: winner=1 turns=12 selects=131
  match 237 seat1: winner=0 turns=15 selects=129
  match 238 seat0: winner=1 turns=4 selects=39
  match 238 seat1: winner=0 turns=3 selects=24
  match 239 seat0: winner=0 turns=11 selects=133
  match 239 seat1: winner=1 turns=22 selects=160
  match 240 seat0: winner=0 turns=22 selects=167
  match 240 seat1: winner=0 turns=15 selects=158
  match 241 seat0: winner=0 turns=13 selects=149
  match 241 seat1: winner=0 turns=7 selects=79
  match 242 seat0: winner=0 turns=13 selects=133
  match 242 seat1: winner=0 turns=15 selects=153
  match 243 seat0: winner=1 turns=14 selects=131
  match 243 seat1: winner=0 turns=3 selects=49
  match 244 seat0: winner=0 turns=3 selects=26
  match 244 seat1: winner=0 turns=19 selects=155
  match 245 seat0: winner=1 turns=16 selects=144
  match 245 seat1: winner=1 turns=14 selects=125
  match 246 seat0: winner=0 turns=11 selects=116
  match 246 seat1: winner=0 turns=16 selects=162
  match 247 seat0: winner=0 turns=5 selects=38
  match 247 seat1: winner=0 turns=15 selects=147
  match 248 seat0: winner=1 turns=6 selects=72
  match 248 seat1: winner=1 turns=16 selects=135
  match 249 seat0: winner=0 turns=15 selects=146
  match 249 seat1: winner=1 turns=12 selects=138

A=bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.310 [0.271, 0.352] W155/D0/L345 over 500 games
  as P0: W/D/L=(81, 0, 169)  as P1: W/D/L=(74, 0, 176)
  elapsed 69.6s; archived 500 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_arch_archaludon_ex_vs_rulev10_lucario_v10.jsonl
  [health] OK calls=26702 fallbacks=0 net_missing=0 deck=500
