=== luc@lucario_v10 vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea91a-1c2569; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 112 seat1: winner=0 turns=9 selects=121
  match 113 seat0: winner=0 turns=5 selects=32
  match 113 seat1: winner=0 turns=12 selects=138
  match 114 seat0: winner=0 turns=12 selects=148
  match 114 seat1: winner=1 turns=16 selects=159
  match 115 seat0: winner=0 turns=13 selects=151
  match 115 seat1: winner=0 turns=11 selects=106
  match 116 seat0: winner=1 turns=8 selects=111
  match 116 seat1: winner=0 turns=11 selects=144
  match 117 seat0: winner=0 turns=15 selects=132
  match 117 seat1: winner=0 turns=9 selects=130
  match 118 seat0: winner=0 turns=14 selects=142
  match 118 seat1: winner=0 turns=5 selects=48
  match 119 seat0: winner=0 turns=15 selects=165
  match 119 seat1: winner=0 turns=11 selects=144
  match 120 seat0: winner=1 turns=10 selects=142
  match 120 seat1: winner=0 turns=11 selects=139
  match 121 seat0: winner=1 turns=11 selects=142
  match 121 seat1: winner=0 turns=11 selects=132
  match 122 seat0: winner=1 turns=16 selects=154
  match 122 seat1: winner=0 turns=11 selects=128
  match 123 seat0: winner=1 turns=12 selects=153
  match 123 seat1: winner=1 turns=12 selects=112
  match 124 seat0: winner=1 turns=10 selects=145
  match 124 seat1: winner=0 turns=12 selects=160
  match 125 seat0: winner=1 turns=8 selects=125
  match 125 seat1: winner=1 turns=6 selects=63
  match 126 seat0: winner=0 turns=11 selects=126
  match 126 seat1: winner=0 turns=13 selects=146
  match 127 seat0: winner=1 turns=13 selects=144
  match 127 seat1: winner=0 turns=11 selects=147
  match 128 seat0: winner=0 turns=21 selects=167
  match 128 seat1: winner=0 turns=17 selects=135
  match 129 seat0: winner=1 turns=12 selects=154
  match 129 seat1: winner=0 turns=11 selects=118
  match 130 seat0: winner=1 turns=12 selects=141
  match 130 seat1: winner=0 turns=9 selects=124
  match 131 seat0: winner=0 turns=13 selects=150
  match 131 seat1: winner=1 turns=14 selects=131
  match 132 seat0: winner=0 turns=22 selects=129
  match 132 seat1: winner=0 turns=11 selects=136
  match 133 seat0: winner=0 turns=13 selects=155
  match 133 seat1: winner=0 turns=15 selects=103
  match 134 seat0: winner=1 turns=12 selects=113
  match 134 seat1: winner=0 turns=19 selects=162
  match 135 seat0: winner=1 turns=8 selects=111
  match 135 seat1: winner=0 turns=14 selects=130
  match 136 seat0: winner=0 turns=13 selects=167
  match 136 seat1: winner=0 turns=11 selects=146
  match 137 seat0: winner=1 turns=12 selects=134
  match 137 seat1: winner=1 turns=12 selects=157
  match 138 seat0: winner=1 turns=12 selects=147
  match 138 seat1: winner=0 turns=14 selects=142
  match 139 seat0: winner=0 turns=11 selects=131
  match 139 seat1: winner=1 turns=12 selects=137
  match 140 seat0: winner=0 turns=13 selects=118
  match 140 seat1: winner=0 turns=21 selects=148
  match 141 seat0: winner=1 turns=12 selects=140
  match 141 seat1: winner=0 turns=9 selects=136
  match 142 seat0: winner=0 turns=14 selects=150
  match 142 seat1: winner=1 turns=14 selects=139
  match 143 seat0: winner=0 turns=13 selects=135
  match 143 seat1: winner=1 turns=12 selects=149
  match 144 seat0: winner=1 turns=12 selects=125
  match 144 seat1: winner=0 turns=7 selects=92
  match 145 seat0: winner=1 turns=8 selects=110
  match 145 seat1: winner=1 turns=6 selects=53
  match 146 seat0: winner=0 turns=13 selects=141
  match 146 seat1: winner=1 turns=14 selects=61
  match 147 seat0: winner=0 turns=5 selects=43
  match 147 seat1: winner=0 turns=11 selects=147
  match 148 seat0: winner=1 turns=8 selects=114
  match 148 seat1: winner=1 turns=15 selects=120
  match 149 seat0: winner=1 turns=8 selects=88
  match 149 seat1: winner=0 turns=11 selects=156
  match 150 seat0: winner=1 turns=10 selects=88
  match 150 seat1: winner=1 turns=12 selects=99
  match 151 seat0: winner=0 turns=15 selects=142
  match 151 seat1: winner=0 turns=11 selects=145
  match 152 seat0: winner=1 turns=8 selects=100
  match 152 seat1: winner=1 turns=14 selects=155
  match 153 seat0: winner=0 turns=11 selects=155
  match 153 seat1: winner=1 turns=14 selects=152
  match 154 seat0: winner=0 turns=11 selects=74
  match 154 seat1: winner=1 turns=12 selects=98
  match 155 seat0: winner=1 turns=12 selects=163
  match 155 seat1: winner=0 turns=13 selects=165
  match 156 seat0: winner=1 turns=12 selects=153
  match 156 seat1: winner=1 turns=16 selects=133
  match 157 seat0: winner=1 turns=10 selects=145
  match 157 seat1: winner=0 turns=3 selects=31
  match 158 seat0: winner=0 turns=13 selects=142
  match 158 seat1: winner=0 turns=13 selects=159
  match 159 seat0: winner=1 turns=10 selects=146
  match 159 seat1: winner=0 turns=9 selects=117
  match 160 seat0: winner=0 turns=11 selects=134
  match 160 seat1: winner=1 turns=2 selects=27
  match 161 seat0: winner=1 turns=10 selects=131
  match 161 seat1: winner=1 turns=10 selects=137
  match 162 seat0: winner=0 turns=3 selects=30
  match 162 seat1: winner=1 turns=4 selects=41
  match 163 seat0: winner=0 turns=11 selects=89
  match 163 seat1: winner=0 turns=11 selects=149
