
net out/policy_b1_v3.npz vs artifacts/pds_grimm_ctrl_r on ALL rows
22768 single-choice rows, 22768 with a rated demonstrator (100.0%), 266 games

demonstrator rating       rows  games    top1          95% CI  random    miss
0-900                     1288     17   66.7%  [0.641, 0.692]   23.6%   33.3%
900-1000                  1879     24   75.0%  [0.730, 0.769]   25.2%   25.0%
1000-1050                 2740     33   75.1%  [0.734, 0.767]   25.3%   24.9%
1050-1100                 8915    105   76.1%  [0.752, 0.770]   25.0%   23.9%
1100-1150                 7946     87   70.9%  [0.699, 0.719]   25.1%   29.1%

(exposure read from out/logs/pds_v3r_seen.json: 66 trained-on demonstrators)

agreement vs how much of that demonstrator the net TRAINED on:
train rows seen           rows  teams  rating    top1
0 (unseen player)        22768     87  1063.4   73.6%

per demonstrator (>= 500 rows):
  rating    rows  games    seen    top1  demonstrator
      55112275   1056.3     187      2   77.5%  [0.710, 0.829]
      55113034   1073.3      74      1   64.9%  [0.535, 0.748]
      55114322   1087.6      82      1   81.7%  [0.720, 0.886]
      55114583   1094.6     298      3   77.5%  [0.724, 0.819]
      55115259   1137.6     110      1   49.1%  [0.399, 0.583]
      55117094   1097.9     479      6   81.6%  [0.779, 0.848]
      55117096   1022.5      83      1   69.9%  [0.593, 0.787]
      55117103   1097.9     155      2   80.6%  [0.737, 0.861]
      55120952   1032.2     135      2   77.0%  [0.693, 0.833]
      55121435    923.7      66      1   66.7%  [0.547, 0.768]
      55121480   1049.3      73      1   71.2%  [0.600, 0.803]
      55125521   1126.3     192      2   64.1%  [0.571, 0.705]
      55125551   1126.3     200      2   59.0%  [0.521, 0.656]
      55126778   1062.1      72      1   69.4%  [0.580, 0.789]
      55128124    982.6      77      1   70.1%  [0.592, 0.792]
      55128911   1137.6     263      3   71.1%  [0.654, 0.762]
      55132728   1096.7      70      1   72.9%  [0.615, 0.819]

15 demonstrators, row-weighted fit: top1 = 1.934 -0.00108 x rating  (r = -0.622)
  => -0.11 pp of agreement per +100 rating
