=== gar@cynthia_garchomp vs rule:alakazam5@alakazam5 matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 88 seat1: winner=1 turns=29 selects=165
  match 89 seat0: winner=0 turns=16 selects=168
  match 89 seat1: winner=0 turns=9 selects=84
  match 90 seat0: winner=0 turns=18 selects=167
  match 90 seat1: winner=1 turns=20 selects=206
  match 91 seat0: winner=0 turns=15 selects=174
  match 91 seat1: winner=1 turns=20 selects=182
  match 92 seat0: winner=0 turns=19 selects=185
  match 92 seat1: winner=1 turns=23 selects=153
  match 93 seat0: winner=0 turns=16 selects=151
  match 93 seat1: winner=1 turns=16 selects=136
  match 94 seat0: winner=0 turns=20 selects=188
  match 94 seat1: winner=0 turns=11 selects=120
  match 95 seat0: winner=0 turns=15 selects=153
  match 95 seat1: winner=1 turns=19 selects=208
  match 96 seat0: winner=0 turns=17 selects=180
  match 96 seat1: winner=0 turns=24 selects=208
  match 97 seat0: winner=0 turns=13 selects=167
  match 97 seat1: winner=1 turns=20 selects=181
  match 98 seat0: winner=0 turns=17 selects=192
  match 98 seat1: winner=1 turns=18 selects=179
  match 99 seat0: winner=0 turns=23 selects=225
  match 99 seat1: winner=1 turns=15 selects=153
  match 100 seat0: winner=0 turns=17 selects=174
  match 100 seat1: winner=1 turns=16 selects=158
  match 101 seat0: winner=1 turns=12 selects=146
  match 101 seat1: winner=1 turns=16 selects=184
  match 102 seat0: winner=1 turns=14 selects=167
  match 102 seat1: winner=1 turns=17 selects=133
  match 103 seat0: winner=0 turns=11 selects=138
  match 103 seat1: winner=0 turns=11 selects=80
  match 104 seat0: winner=1 turns=14 selects=160
  match 104 seat1: winner=1 turns=22 selects=164
  match 105 seat0: winner=1 turns=16 selects=140
  match 105 seat1: winner=1 turns=16 selects=175
  match 106 seat0: winner=0 turns=21 selects=201
  match 106 seat1: winner=0 turns=15 selects=142
  match 107 seat0: winner=0 turns=17 selects=153
  match 107 seat1: winner=1 turns=15 selects=159
  match 108 seat0: winner=0 turns=18 selects=172
  match 108 seat1: winner=1 turns=19 selects=167
  match 109 seat0: winner=0 turns=17 selects=178
  match 109 seat1: winner=1 turns=20 selects=172
  match 110 seat0: winner=1 turns=14 selects=167
  match 110 seat1: winner=1 turns=21 selects=185
  match 111 seat0: winner=0 turns=14 selects=164
  match 111 seat1: winner=1 turns=18 selects=167
  match 112 seat0: winner=0 turns=18 selects=160
  match 112 seat1: winner=1 turns=26 selects=168
  match 113 seat0: winner=0 turns=15 selects=154
  match 113 seat1: winner=1 turns=15 selects=188
  match 114 seat0: winner=0 turns=17 selects=136
  match 114 seat1: winner=0 turns=25 selects=189
  match 115 seat0: winner=0 turns=19 selects=227
  match 115 seat1: winner=1 turns=16 selects=125
  match 116 seat0: winner=0 turns=17 selects=156
  match 116 seat1: winner=1 turns=21 selects=178
  match 117 seat0: winner=1 turns=12 selects=153
  match 117 seat1: winner=0 turns=13 selects=158
  match 118 seat0: winner=0 turns=15 selects=140
  match 118 seat1: winner=1 turns=4 selects=37
  match 119 seat0: winner=0 turns=19 selects=167
  match 119 seat1: winner=1 turns=18 selects=206
  match 120 seat0: winner=0 turns=17 selects=156
  match 120 seat1: winner=1 turns=19 selects=152
  match 121 seat0: winner=0 turns=20 selects=187
  match 121 seat1: winner=0 turns=15 selects=173
  match 122 seat0: winner=0 turns=19 selects=193
  match 122 seat1: winner=0 turns=17 selects=179
  match 123 seat0: winner=0 turns=17 selects=153
  match 123 seat1: winner=1 turns=15 selects=162
  match 124 seat0: winner=0 turns=19 selects=175
  match 124 seat1: winner=0 turns=19 selects=200
  match 125 seat0: winner=0 turns=14 selects=136
  match 125 seat1: winner=1 turns=17 selects=200
  match 126 seat0: winner=0 turns=15 selects=176
  match 126 seat1: winner=0 turns=11 selects=140
  match 127 seat0: winner=1 turns=12 selects=170
  match 127 seat1: winner=1 turns=22 selects=173
  match 128 seat0: winner=0 turns=17 selects=176
  match 128 seat1: winner=0 turns=11 selects=154
  match 129 seat0: winner=0 turns=15 selects=154
  match 129 seat1: winner=1 turns=24 selects=148
  match 130 seat0: winner=1 turns=12 selects=142
  match 130 seat1: winner=1 turns=16 selects=165
  match 131 seat0: winner=0 turns=17 selects=161
  match 131 seat1: winner=0 turns=11 selects=121
  match 132 seat0: winner=0 turns=18 selects=154
  match 132 seat1: winner=0 turns=13 selects=159
  match 133 seat0: winner=1 turns=18 selects=163
  match 133 seat1: winner=1 turns=16 selects=129
  match 134 seat0: winner=0 turns=22 selects=160
  match 134 seat1: winner=0 turns=17 selects=199
  match 135 seat0: winner=0 turns=15 selects=184
  match 135 seat1: winner=1 turns=15 selects=169
  match 136 seat0: winner=1 turns=6 selects=64
  match 136 seat1: winner=1 turns=14 selects=152
  match 137 seat0: winner=0 turns=14 selects=152
  match 137 seat1: winner=0 turns=11 selects=152
  match 138 seat0: winner=1 turns=14 selects=167
  match 138 seat1: winner=0 turns=21 selects=200
  match 139 seat0: winner=0 turns=6 selects=36
  match 139 seat1: winner=1 turns=20 selects=183
  match 140 seat0: winner=0 turns=19 selects=177
  match 140 seat1: winner=1 turns=3 selects=20
  match 141 seat0: winner=0 turns=15 selects=140
  match 141 seat1: winner=1 turns=20 selects=129
  match 142 seat0: winner=0 turns=19 selects=172
  match 142 seat1: winner=1 turns=14 selects=172
  match 143 seat0: winner=1 turns=14 selects=168
  match 143 seat1: winner=1 turns=19 selects=178
  match 144 seat0: winner=0 turns=21 selects=166
  match 144 seat1: winner=1 turns=20 selects=195
  match 145 seat0: winner=0 turns=25 selects=150
  match 145 seat1: winner=1 turns=15 selects=200
  match 146 seat0: winner=1 turns=22 selects=170
  match 146 seat1: winner=1 turns=24 selects=197
  match 147 seat0: winner=0 turns=17 selects=185
  match 147 seat1: winner=1 turns=21 selects=216
  match 148 seat0: winner=0 turns=18 selects=182
  match 148 seat1: winner=0 turns=22 selects=223
  match 149 seat0: winner=0 turns=18 selects=169
  match 149 seat1: winner=1 turns=17 selects=145
  match 150 seat0: winner=1 turns=16 selects=161
  match 150 seat1: winner=0 turns=15 selects=182
