=== oger@teal_mask_ogerpon vs rule:archaludon@archaludon_ex matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulearchaludon_archaludon_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ead4a-21073c; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 148 seat1: winner=0 turns=12 selects=114
  match 149 seat0: winner=0 turns=9 selects=74
  match 149 seat1: winner=0 turns=8 selects=95
  match 150 seat0: winner=0 turns=13 selects=78
  match 150 seat1: winner=0 turns=10 selects=104
  match 151 seat0: winner=1 turns=6 selects=62
  match 151 seat1: winner=0 turns=10 selects=125
  match 152 seat0: winner=1 turns=10 selects=119
  match 152 seat1: winner=0 turns=10 selects=118
  match 153 seat0: winner=0 turns=17 selects=155
  match 153 seat1: winner=0 turns=10 selects=119
  match 154 seat0: winner=0 turns=9 selects=100
  match 154 seat1: winner=0 turns=14 selects=143
  match 155 seat0: winner=0 turns=13 selects=117
  match 155 seat1: winner=1 turns=11 selects=84
  match 156 seat0: winner=1 turns=10 selects=119
  match 156 seat1: winner=1 turns=15 selects=141
  match 157 seat0: winner=1 turns=8 selects=78
  match 157 seat1: winner=1 turns=5 selects=67
  match 158 seat0: winner=1 turns=12 selects=151
  match 158 seat1: winner=0 turns=4 selects=46
  match 159 seat0: winner=0 turns=13 selects=105
  match 159 seat1: winner=0 turns=8 selects=84
  match 160 seat0: winner=1 turns=6 selects=77
  match 160 seat1: winner=1 turns=13 selects=140
  match 161 seat0: winner=0 turns=7 selects=84
  match 161 seat1: winner=0 turns=10 selects=123
  match 162 seat0: winner=1 turns=8 selects=97
  match 162 seat1: winner=0 turns=12 selects=135
  match 163 seat0: winner=1 turns=10 selects=115
  match 163 seat1: winner=1 turns=11 selects=125
  match 164 seat0: winner=1 turns=10 selects=128
  match 164 seat1: winner=0 turns=12 selects=135
  match 165 seat0: winner=1 turns=4 selects=45
  match 165 seat1: winner=1 turns=11 selects=135
  match 166 seat0: winner=1 turns=12 selects=125
  match 166 seat1: winner=1 turns=13 selects=142
  match 167 seat0: winner=0 turns=11 selects=151
  match 167 seat1: winner=0 turns=10 selects=132
