=== arch@archaludon_ex vs rule:archaludon@archaludon_ex matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 179 seat0: winner=1 turns=16 selects=129
  match 179 seat1: winner=0 turns=20 selects=139
  match 180 seat0: winner=1 turns=16 selects=138
  match 180 seat1: winner=1 turns=17 selects=104
  match 181 seat0: winner=1 turns=14 selects=125
  match 181 seat1: winner=1 turns=17 selects=112
  match 182 seat0: winner=1 turns=16 selects=140
  match 182 seat1: winner=0 turns=16 selects=90
  match 183 seat0: winner=1 turns=14 selects=123
  match 183 seat1: winner=0 turns=12 selects=93
  match 184 seat0: winner=0 turns=25 selects=138
  match 184 seat1: winner=0 turns=16 selects=148
  match 185 seat0: winner=0 turns=11 selects=74
  match 185 seat1: winner=1 turns=24 selects=116
  match 186 seat0: winner=1 turns=22 selects=144
  match 186 seat1: winner=0 turns=12 selects=107
  match 187 seat0: winner=1 turns=12 selects=73
  match 187 seat1: winner=0 turns=14 selects=132
  match 188 seat0: winner=1 turns=14 selects=112
  match 188 seat1: winner=0 turns=10 selects=75
  match 189 seat0: winner=1 turns=12 selects=68
  match 189 seat1: winner=0 turns=24 selects=160
  match 190 seat0: winner=1 turns=20 selects=149
  match 190 seat1: winner=0 turns=14 selects=119
  match 191 seat0: winner=1 turns=20 selects=161
  match 191 seat1: winner=1 turns=11 selects=70
  match 192 seat0: winner=1 turns=16 selects=138
  match 192 seat1: winner=0 turns=31 selects=126
  match 193 seat0: winner=0 turns=15 selects=135
  match 193 seat1: winner=0 turns=18 selects=136
  match 194 seat0: winner=1 turns=16 selects=143
  match 194 seat1: winner=0 turns=12 selects=86
  match 195 seat0: winner=0 turns=15 selects=114
  match 195 seat1: winner=1 turns=15 selects=112
  match 196 seat0: winner=1 turns=10 selects=74
  match 196 seat1: winner=0 turns=18 selects=118
  match 197 seat0: winner=1 turns=19 selects=144
  match 197 seat1: winner=1 turns=17 selects=95
  match 198 seat0: winner=1 turns=14 selects=105
  match 198 seat1: winner=0 turns=12 selects=91
  match 199 seat0: winner=1 turns=16 selects=106
  match 199 seat1: winner=0 turns=12 selects=87

A=bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.253 [0.212, 0.297] W101/D0/L299 over 400 games
  as P0: W/D/L=(49, 0, 151)  as P1: W/D/L=(52, 0, 148)
  elapsed 51.5s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_arch_archaludon_ex_vs_rulearchaludon_archaludon_ex.jsonl
  [health] OK calls=22101 fallbacks=0 net_missing=0 deck=400
