=== oger@teal_mask_ogerpon vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_bcall_grimmsnarl.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eae3c-9ae6f7; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 88 seat1: winner=1 turns=10 selects=149
  match 89 seat0: winner=0 turns=9 selects=140
  match 89 seat1: winner=1 turns=10 selects=175
  match 90 seat0: winner=0 turns=13 selects=169
  match 90 seat1: winner=1 turns=12 selects=151
  match 91 seat0: winner=0 turns=11 selects=107
  match 91 seat1: winner=1 turns=12 selects=119
  match 92 seat0: winner=0 turns=9 selects=115
  match 92 seat1: winner=1 turns=12 selects=111
  match 93 seat0: winner=0 turns=9 selects=130
  match 93 seat1: winner=1 turns=10 selects=135
  match 94 seat0: winner=0 turns=9 selects=152
  match 94 seat1: winner=1 turns=10 selects=133
  match 95 seat0: winner=0 turns=11 selects=149
  match 95 seat1: winner=1 turns=10 selects=130
  match 96 seat0: winner=0 turns=13 selects=95
  match 96 seat1: winner=1 turns=10 selects=139
  match 97 seat0: winner=0 turns=9 selects=109
  match 97 seat1: winner=1 turns=14 selects=158
  match 98 seat0: winner=1 turns=10 selects=147
  match 98 seat1: winner=1 turns=10 selects=156
  match 99 seat0: winner=0 turns=11 selects=160
  match 99 seat1: winner=1 turns=12 selects=102
  match 100 seat0: winner=0 turns=9 selects=121
  match 100 seat1: winner=1 turns=12 selects=120
  match 101 seat0: winner=0 turns=3 selects=42
  match 101 seat1: winner=1 turns=10 selects=129
  match 102 seat0: winner=0 turns=9 selects=115
  match 102 seat1: winner=0 turns=5 selects=60
  match 103 seat0: winner=0 turns=11 selects=111
  match 103 seat1: winner=1 turns=10 selects=160
  match 104 seat0: winner=1 turns=8 selects=159
  match 104 seat1: winner=0 turns=11 selects=183
  match 105 seat0: winner=0 turns=9 selects=142
  match 105 seat1: winner=1 turns=10 selects=120
  match 106 seat0: winner=0 turns=11 selects=96
  match 106 seat1: winner=0 turns=7 selects=114
  match 107 seat0: winner=0 turns=9 selects=154
  match 107 seat1: winner=1 turns=10 selects=150
  match 108 seat0: winner=0 turns=11 selects=137
  match 108 seat1: winner=0 turns=11 selects=161
  match 109 seat0: winner=0 turns=11 selects=136
  match 109 seat1: winner=1 turns=10 selects=174
  match 110 seat0: winner=0 turns=11 selects=153
  match 110 seat1: winner=1 turns=10 selects=133
  match 111 seat0: winner=0 turns=9 selects=154
  match 111 seat1: winner=1 turns=12 selects=118
  match 112 seat0: winner=0 turns=9 selects=147
  match 112 seat1: winner=1 turns=8 selects=128
  match 113 seat0: winner=0 turns=11 selects=159
  match 113 seat1: winner=1 turns=14 selects=68
  match 114 seat0: winner=0 turns=13 selects=148
  match 114 seat1: winner=1 turns=12 selects=192
  match 115 seat0: winner=0 turns=11 selects=112
  match 115 seat1: winner=0 turns=5 selects=69
  match 116 seat0: winner=0 turns=11 selects=140
  match 116 seat1: winner=1 turns=14 selects=195
  match 117 seat0: winner=0 turns=9 selects=111
  match 117 seat1: winner=1 turns=10 selects=137
  match 118 seat0: winner=0 turns=9 selects=130
